Description:
The Munsell renotation [Newhall1943, Table I] expresses Munsell colours, when
illuminated by illuminant C, in xyY coordinates.  This file contains an inverse
table, that converts xyY coordinates into Munsell notation.  The xy chromaticity
values in this file were chosen to lie on Cartestian grid points, and the values
of Y were chosen to correspond to integer Munsell values.  Each row of the file
was generated by a call to the routine xyYToMunsell.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  The file xyYToMunsell.m contains a detailed description of
the inversion algorithm, and a complete discussion appears in [Centore2012].
Those wishing to perform further conversions from Munsell to xyY coordinates
can either use routine xyYToMunsell.m directly, or write an interpolation routine
using the data in this file.  The second method is likely faster, but would not
be any more accurate than the first method.
The data in this file were produced in January 2011, and supersede an earlier version
produced in September 2010.  The
inversion algorithm used here, from [Centore2012] is slightly different from the algorithm
used then.

[Centore2012] Paul Centore, "An Open Source Inversion Algorithm for the Munsell Renotation,"
        Color Research & Application, 2012, to appear.  This paper is currently 
	available at www.99main.com/~centore
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  x	  y	  Y	   H    	 V	   C
0.36	0.18	1.18	4.8319RP	1.0	 6.8710
0.36	0.20	1.18	5.3116RP	1.0	 5.5221
0.36	0.22	1.18	6.0025RP	1.0	 4.2783
0.36	0.24	1.18	7.0790RP	1.0	 3.2685
0.36	0.26	1.18	8.5761RP	1.0	 2.3741
0.36	0.28	1.18	0.8395R 	1.0	 1.7374
0.36	0.30	1.18	4.5717R 	1.0	 1.2757
0.36	0.32	1.18	1.2037YR	1.0	 0.9163
0.36	0.34	1.18	7.7844YR	1.0	 0.7494
0.36	0.36	1.18	3.6115Y 	1.0	 0.8300
0.36	0.38	1.18	8.2596Y 	1.0	 1.1536
0.36	0.40	1.18	1.0041GY	1.0	 1.6757
0.36	0.42	1.18	2.3491GY	1.0	 2.1021
0.36	0.44	1.18	3.3314GY	1.0	 2.3424
0.36	0.46	1.18	3.9954GY	1.0	 2.5752
0.36	0.48	1.18	4.4566GY	1.0	 2.8021
0.36	0.50	1.18	4.7953GY	1.0	 3.0254
0.36	0.52	1.18	5.0731GY	1.0	 3.2550
0.36	0.54	1.18	5.3004GY	1.0	 3.5028
0.36	0.56	1.18	5.4933GY	1.0	 3.7536
0.36	0.58	1.18	5.6549GY	1.0	 4.0069
0.36	0.60	1.18	5.7037GY	1.0	 4.2844
0.36	0.62	1.18	5.7439GY	1.0	 4.5581
0.38	0.14	1.18	5.3148RP	1.0	10.8350
0.38	0.16	1.18	5.7199RP	1.0	 8.9716
0.38	0.18	1.18	6.2386RP	1.0	 7.4162
0.38	0.20	1.18	6.8820RP	1.0	 6.0587
0.38	0.22	1.18	7.7669RP	1.0	 4.8653
0.38	0.24	1.18	8.8973RP	1.0	 3.7962
0.38	0.26	1.18	0.4686R 	1.0	 2.9308
0.38	0.28	1.18	2.5435R 	1.0	 2.1474
0.38	0.30	1.18	5.8801R 	1.0	 1.6518
0.38	0.32	1.18	0.8760YR	1.0	 1.3037
0.38	0.34	1.18	5.2543YR	1.0	 1.0902
0.38	0.36	1.18	0.2367Y 	1.0	 1.0452
0.38	0.38	1.18	4.1165Y 	1.0	 1.1887
0.38	0.40	1.18	7.5309Y 	1.0	 1.4908
0.38	0.42	1.18	9.9069Y 	1.0	 1.9706
0.38	0.44	1.18	1.2902GY	1.0	 2.2610
0.38	0.46	1.18	2.1250GY	1.0	 2.4883
0.38	0.48	1.18	2.8013GY	1.0	 2.7073
0.38	0.50	1.18	3.3916GY	1.0	 2.9379
0.38	0.52	1.18	3.8378GY	1.0	 3.1645
0.38	0.54	1.18	4.1851GY	1.0	 3.3881
0.38	0.56	1.18	4.4715GY	1.0	 3.6105
0.38	0.58	1.18	4.7016GY	1.0	 3.8306
0.38	0.60	1.18	4.8906GY	1.0	 4.0668
0.40	0.14	1.18	6.3468RP	1.0	11.3919
0.40	0.16	1.18	6.8540RP	1.0	 9.5105
0.40	0.18	1.18	7.4965RP	1.0	 7.9394
0.40	0.20	1.18	8.2490RP	1.0	 6.6194
0.40	0.22	1.18	9.2018RP	1.0	 5.4280
0.40	0.24	1.18	0.3697R 	1.0	 4.3525
0.40	0.26	1.18	1.8321R 	1.0	 3.4529
0.40	0.28	1.18	3.8312R 	1.0	 2.6862
0.40	0.30	1.18	6.7764R 	1.0	 2.0413
0.40	0.32	1.18	0.6985YR	1.0	 1.6910
0.40	0.34	1.18	4.0224YR	1.0	 1.4626
0.40	0.36	1.18	7.9612YR	1.0	 1.3478
0.40	0.38	1.18	1.3384Y 	1.0	 1.3795
0.40	0.40	1.18	4.3894Y 	1.0	 1.5478
0.40	0.42	1.18	7.0723Y 	1.0	 1.8485
0.40	0.44	1.18	9.1754Y 	1.0	 2.1916
0.40	0.46	1.18	0.5343GY	1.0	 2.4481
0.40	0.48	1.18	1.3761GY	1.0	 2.6770
0.40	0.50	1.18	1.9989GY	1.0	 2.8840
0.40	0.52	1.18	2.4924GY	1.0	 3.0787
0.40	0.54	1.18	3.0066GY	1.0	 3.3065
0.40	0.56	1.18	3.4181GY	1.0	 3.5322
0.40	0.58	1.18	3.7546GY	1.0	 3.7558
0.42	0.16	1.18	7.9302RP	1.0	10.0237
0.42	0.18	1.18	8.6405RP	1.0	 8.4824
0.42	0.20	1.18	9.4749RP	1.0	 7.1394
0.42	0.22	1.18	0.3857R 	1.0	 5.9460
0.42	0.24	1.18	1.4838R 	1.0	 4.8911
0.42	0.26	1.18	2.9143R 	1.0	 3.9606
0.42	0.28	1.18	4.8433R 	1.0	 3.1920
0.42	0.30	1.18	7.6069R 	1.0	 2.5422
0.42	0.32	1.18	0.6396YR	1.0	 2.0906
0.42	0.34	1.18	3.3173YR	1.0	 1.8379
0.42	0.36	1.18	6.3562YR	1.0	 1.6803
0.42	0.38	1.18	9.5340YR	1.0	 1.6351
0.42	0.40	1.18	1.9958Y 	1.0	 1.7158
0.42	0.42	1.18	4.5603Y 	1.0	 1.9070
0.42	0.44	1.18	6.9782Y 	1.0	 2.1701
0.42	0.46	1.18	8.7565Y 	1.0	 2.4333
0.42	0.48	1.18	9.9941Y 	1.0	 2.6573
0.42	0.50	1.18	0.8040GY	1.0	 2.8817
0.42	0.52	1.18	1.4216GY	1.0	 3.0891
0.42	0.54	1.18	1.9197GY	1.0	 3.2843
0.42	0.56	1.18	2.3351GY	1.0	 3.4715
0.44	0.16	1.18	8.9753RP	1.0	10.5944
0.44	0.18	1.18	9.7287RP	1.0	 9.0111
0.44	0.20	1.18	0.4630R 	1.0	 7.6240
0.44	0.22	1.18	1.3233R 	1.0	 6.4478
0.44	0.24	1.18	2.4497R 	1.0	 5.3797
0.44	0.26	1.18	3.8379R 	1.0	 4.4776
0.44	0.28	1.18	5.6826R 	1.0	 3.6880
0.44	0.30	1.18	8.1750R 	1.0	 3.0250
0.44	0.32	1.18	0.7883YR	1.0	 2.5231
0.44	0.34	1.18	3.0321YR	1.0	 2.2105
0.44	0.36	1.18	5.2320YR	1.0	 2.0260
0.44	0.38	1.18	8.0284YR	1.0	 1.9463
0.44	0.40	1.18	0.4883Y 	1.0	 1.9522
0.44	0.42	1.18	2.5158Y 	1.0	 2.0528
0.44	0.44	1.18	4.9593Y 	1.0	 2.2357
0.44	0.46	1.18	7.0247Y 	1.0	 2.4619
0.44	0.48	1.18	8.4906Y 	1.0	 2.6912
0.44	0.50	1.18	9.5591Y 	1.0	 2.8985
0.44	0.52	1.18	0.3597GY	1.0	 3.1004
0.44	0.54	1.18	0.9604GY	1.0	 3.3049
0.46	0.18	1.18	0.5595R 	1.0	 9.5472
0.46	0.20	1.18	1.2631R 	1.0	 8.1266
0.46	0.22	1.18	2.1643R 	1.0	 6.9354
0.46	0.24	1.18	3.2509R 	1.0	 5.8652
0.46	0.26	1.18	4.6441R 	1.0	 4.9652
0.46	0.28	1.18	6.3938R 	1.0	 4.1752
0.46	0.30	1.18	8.6255R 	1.0	 3.4877
0.46	0.32	1.18	0.8908YR	1.0	 2.9530
0.46	0.34	1.18	2.9351YR	1.0	 2.5851
0.46	0.36	1.18	4.8334YR	1.0	 2.3635
0.46	0.38	1.18	7.1760YR	1.0	 2.2495
0.46	0.40	1.18	9.4495YR	1.0	 2.2126
0.46	0.42	1.18	1.4181Y 	1.0	 2.2722
0.46	0.44	1.18	3.3663Y 	1.0	 2.3932
0.46	0.46	1.18	5.3038Y 	1.0	 2.5542
0.46	0.48	1.18	7.0599Y 	1.0	 2.7525
0.46	0.50	1.18	8.3086Y 	1.0	 2.9588
0.46	0.52	1.18	9.2498Y 	1.0	 3.1511
0.48	0.18	1.18	1.2675R 	1.0	10.0633
0.48	0.20	1.18	2.0144R 	1.0	 8.6630
0.48	0.22	1.18	2.9157R 	1.0	 7.4247
0.48	0.24	1.18	3.9897R 	1.0	 6.3615
0.48	0.26	1.18	5.3556R 	1.0	 5.4389
0.48	0.28	1.18	7.0916R 	1.0	 4.6431
0.48	0.30	1.18	9.0038R 	1.0	 3.9345
0.48	0.32	1.18	0.9809YR	1.0	 3.3765
0.48	0.34	1.18	2.8495YR	1.0	 2.9647
0.48	0.36	1.18	4.5620YR	1.0	 2.7110
0.48	0.38	1.18	6.5718YR	1.0	 2.5626
0.48	0.40	1.18	8.6211YR	1.0	 2.4988
0.48	0.42	1.18	0.5135Y 	1.0	 2.5046
0.48	0.44	1.18	2.1725Y 	1.0	 2.5865
0.48	0.46	1.18	3.9304Y 	1.0	 2.7125
0.48	0.48	1.18	5.5605Y 	1.0	 2.8653
0.48	0.50	1.18	7.0873Y 	1.0	 3.0427
0.50	0.20	1.18	2.7079R 	1.0	 9.1791
0.50	0.22	1.18	3.5950R 	1.0	 7.8944
0.50	0.24	1.18	4.6848R 	1.0	 6.8401
0.50	0.26	1.18	6.0111R 	1.0	 5.8954
0.50	0.28	1.18	7.6936R 	1.0	 5.0975
0.50	0.30	1.18	9.4725R 	1.0	 4.3923
0.50	0.32	1.18	1.0560YR	1.0	 3.7963
0.50	0.34	1.18	2.7935YR	1.0	 3.3435
0.50	0.36	1.18	4.3432YR	1.0	 3.0638
0.50	0.38	1.18	6.0921YR	1.0	 2.8853
0.50	0.40	1.18	7.9355YR	1.0	 2.7915
0.50	0.42	1.18	9.7236YR	1.0	 2.7596
0.50	0.44	1.18	1.3178Y 	1.0	 2.8153
0.50	0.46	1.18	2.8125Y 	1.0	 2.9043
0.50	0.48	1.18	4.3319Y 	1.0	 3.0253
0.52	0.20	1.18	3.3468R 	1.0	 9.6825
0.52	0.22	1.18	4.2530R 	1.0	 8.3910
0.52	0.24	1.18	5.3461R 	1.0	 7.3005
0.52	0.26	1.18	6.6773R 	1.0	 6.3510
0.52	0.28	1.18	8.1956R 	1.0	 5.5565
0.52	0.30	1.18	9.9297R 	1.0	 4.8467
0.52	0.32	1.18	1.2160YR	1.0	 4.2400
0.52	0.34	1.18	2.7333YR	1.0	 3.7279
0.52	0.36	1.18	4.1634YR	1.0	 3.4210
0.52	0.38	1.18	5.7026YR	1.0	 3.2154
0.52	0.40	1.18	7.3681YR	1.0	 3.0922
0.52	0.42	1.18	9.0290YR	1.0	 3.0438
0.52	0.44	1.18	0.5747Y 	1.0	 3.0539
0.52	0.46	1.18	1.9591Y 	1.0	 3.1245
0.54	0.22	1.18	4.8726R 	1.0	 8.8905
0.54	0.24	1.18	5.9903R 	1.0	 7.7401
0.54	0.26	1.18	7.3165R 	1.0	 6.7945
0.54	0.28	1.18	8.6604R 	1.0	 6.0114
0.54	0.30	1.18	0.2180YR	1.0	 5.3183
0.54	0.32	1.18	1.4367YR	1.0	 4.7133
0.54	0.34	1.18	2.7310YR	1.0	 4.1439
0.54	0.36	1.18	4.0120YR	1.0	 3.7819
0.54	0.38	1.18	5.3801YR	1.0	 3.5513
0.54	0.40	1.18	6.9112YR	1.0	 3.4088
0.54	0.42	1.18	8.4334YR	1.0	 3.3346
0.54	0.44	1.18	9.9194YR	1.0	 3.3044
0.56	0.22	1.18	5.5026R 	1.0	 9.3692
0.56	0.24	1.18	6.6119R 	1.0	 8.1893
0.56	0.26	1.18	7.8753R 	1.0	 7.2434
0.56	0.28	1.18	9.1911R 	1.0	 6.4613
0.56	0.30	1.18	0.4635YR	1.0	 5.7901
0.56	0.32	1.18	1.6576YR	1.0	 5.1761
0.56	0.34	1.18	2.8492YR	1.0	 4.6247
0.56	0.36	1.18	3.9379YR	1.0	 4.1925
0.56	0.38	1.18	5.1093YR	1.0	 3.8920
0.56	0.40	1.18	6.5247YR	1.0	 3.7321
0.56	0.42	1.18	7.9171YR	1.0	 3.6308
0.58	0.24	1.18	7.2177R 	1.0	 8.6689
0.58	0.26	1.18	8.3885R 	1.0	 7.6805
0.58	0.28	1.18	9.6850R 	1.0	 6.8955
0.58	0.30	1.18	0.7474YR	1.0	 6.2501
0.58	0.32	1.18	1.8571YR	1.0	 5.6400
0.58	0.34	1.18	2.9412YR	1.0	 5.1103
0.58	0.36	1.18	3.9391YR	1.0	 4.6791
0.58	0.38	1.18	4.9884YR	1.0	 4.3147
0.58	0.40	1.18	6.2239YR	1.0	 4.0822
0.60	0.24	1.18	7.7810R 	1.0	 9.1344
0.60	0.26	1.18	8.8778R 	1.0	 8.1203
0.60	0.28	1.18	0.1155YR	1.0	 7.3202
0.60	0.30	1.18	1.0832YR	1.0	 6.6844
0.60	0.32	1.18	2.0676YR	1.0	 6.0979
0.60	0.34	1.18	3.0176YR	1.0	 5.5973
0.60	0.36	1.18	3.9459YR	1.0	 5.1627
0.60	0.38	1.18	4.9425YR	1.0	 4.7752
0.62	0.26	1.18	9.4099R 	1.0	 8.5630
0.62	0.28	1.18	0.4419YR	1.0	 7.7564
0.62	0.30	1.18	1.4071YR	1.0	 7.1116
0.62	0.32	1.18	2.3868YR	1.0	 6.5169
0.62	0.34	1.18	3.1004YR	1.0	 6.0825
0.62	0.36	1.18	3.9486YR	1.0	 5.6480
0.64	0.28	1.18	0.7916YR	1.0	 8.1984
0.64	0.30	1.18	1.7256YR	1.0	 7.5289
0.64	0.32	1.18	2.6180YR	1.0	 6.9656
0.64	0.34	1.18	3.2495YR	1.0	 6.5583
0.64	0.36	1.18	3.9751YR	1.0	 6.1331
0.66	0.28	1.18	1.1893YR	1.0	 8.6368
0.66	0.30	1.18	2.0307YR	1.0	 7.9420
0.66	0.32	1.18	2.7813YR	1.0	 7.4387
0.68	0.30	1.18	2.4228YR	1.0	 8.3503
0.10	0.18	3.05	3.3185B 	2.0	 9.5240
0.10	0.20	3.05	1.5830B 	2.0	 9.4824
0.10	0.22	3.05	9.8481BG	2.0	 9.5913
0.10	0.24	3.05	8.6114BG	2.0	 9.7757
0.10	0.26	3.05	7.3992BG	2.0	 9.9598
0.10	0.28	3.05	5.9935BG	2.0	10.1916
0.10	0.30	3.05	4.7537BG	2.0	10.4421
0.10	0.32	3.05	3.9259BG	2.0	10.7143
0.10	0.34	3.05	3.1344BG	2.0	10.9529
0.10	0.36	3.05	2.3467BG	2.0	11.1581
0.10	0.38	3.05	1.4887BG	2.0	11.3550
0.10	0.40	3.05	0.6592BG	2.0	11.5293
0.10	0.42	3.05	9.8374G 	2.0	11.6883
0.10	0.44	3.05	8.9997G 	2.0	11.8436
0.10	0.46	3.05	8.1857G 	2.0	11.9856
0.10	0.48	3.05	7.3908G 	2.0	12.1338
0.10	0.50	3.05	6.6408G 	2.0	12.2746
0.10	0.52	3.05	5.9063G 	2.0	12.4059
0.10	0.54	3.05	5.1778G 	2.0	12.5243
0.10	0.56	3.05	4.6742G 	2.0	12.6557
0.10	0.58	3.05	4.2508G 	2.0	12.7872
0.10	0.60	3.05	3.8312G 	2.0	12.9078
0.10	0.62	3.05	3.4206G 	2.0	13.0238
0.10	0.64	3.05	3.0107G 	2.0	13.1287
0.10	0.66	3.05	2.6091G 	2.0	13.2308
0.10	0.68	3.05	2.3525G 	2.0	13.4032
0.10	0.70	3.05	2.1553G 	2.0	13.5981
0.12	0.12	3.05	1.7480PB	2.0	10.9615
0.12	0.14	3.05	9.8964B 	2.0	 9.6023
0.12	0.16	3.05	7.2163B 	2.0	 8.7943
0.12	0.18	3.05	4.8601B 	2.0	 8.3040
0.12	0.20	3.05	3.0212B 	2.0	 8.1977
0.12	0.22	3.05	1.0198B 	2.0	 8.2648
0.12	0.24	3.05	9.2716BG	2.0	 8.4687
0.12	0.26	3.05	7.9115BG	2.0	 8.6787
0.12	0.28	3.05	6.4296BG	2.0	 8.9249
0.12	0.30	3.05	4.9537BG	2.0	 9.1700
0.12	0.32	3.05	4.0151BG	2.0	 9.4727
0.12	0.34	3.05	3.1341BG	2.0	 9.7503
0.12	0.36	3.05	2.2598BG	2.0	10.0181
0.12	0.38	3.05	1.3231BG	2.0	10.2851
0.12	0.40	3.05	0.4231BG	2.0	10.5196
0.12	0.42	3.05	9.5168G 	2.0	10.7321
0.12	0.44	3.05	8.6021G 	2.0	10.9277
0.12	0.46	3.05	7.7218G 	2.0	11.1054
0.12	0.48	3.05	6.8993G 	2.0	11.2732
0.12	0.50	3.05	6.1093G 	2.0	11.4244
0.12	0.52	3.05	5.3371G 	2.0	11.5726
0.12	0.54	3.05	4.7436G 	2.0	11.7243
0.12	0.56	3.05	4.2942G 	2.0	11.8802
0.12	0.58	3.05	3.8528G 	2.0	12.0268
0.12	0.60	3.05	3.4164G 	2.0	12.1682
0.12	0.62	3.05	2.9823G 	2.0	12.2963
0.12	0.64	3.05	2.5599G 	2.0	12.4206
0.12	0.66	3.05	2.3134G 	2.0	12.6212
0.12	0.68	3.05	2.1045G 	2.0	12.8297
0.12	0.70	3.05	1.8996G 	2.0	13.0270
0.14	0.10	3.05	5.3617PB	2.0	12.5874
0.14	0.12	3.05	4.0932PB	2.0	10.5378
0.14	0.14	3.05	2.1100PB	2.0	 9.1079
0.14	0.16	3.05	0.0781PB	2.0	 8.0059
0.14	0.18	3.05	7.1915B 	2.0	 7.4505
0.14	0.20	3.05	4.6643B 	2.0	 7.1524
0.14	0.22	3.05	2.4871B 	2.0	 7.1306
0.14	0.24	3.05	0.1658B 	2.0	 7.2941
0.14	0.26	3.05	8.5210BG	2.0	 7.5095
0.14	0.28	3.05	6.9432BG	2.0	 7.7283
0.14	0.30	3.05	5.2892BG	2.0	 7.9786
0.14	0.32	3.05	4.1181BG	2.0	 8.3264
0.14	0.34	3.05	3.1229BG	2.0	 8.6552
0.14	0.36	3.05	2.1303BG	2.0	 8.9640
0.14	0.38	3.05	1.0984BG	2.0	 9.2741
0.14	0.40	3.05	0.1337BG	2.0	 9.5498
0.14	0.42	3.05	9.1068G 	2.0	 9.8139
0.14	0.44	3.05	8.1246G 	2.0	10.0546
0.14	0.46	3.05	7.1913G 	2.0	10.2683
0.14	0.48	3.05	6.3238G 	2.0	10.4548
0.14	0.50	3.05	5.4844G 	2.0	10.6260
0.14	0.52	3.05	4.7915G 	2.0	10.8064
0.14	0.54	3.05	4.2945G 	2.0	10.9811
0.14	0.56	3.05	3.8210G 	2.0	11.1529
0.14	0.58	3.05	3.3590G 	2.0	11.3137
0.14	0.60	3.05	2.9110G 	2.0	11.4673
0.14	0.62	3.05	2.4851G 	2.0	11.6175
0.14	0.64	3.05	2.2623G 	2.0	11.8455
0.14	0.66	3.05	2.0433G 	2.0	12.0645
0.14	0.68	3.05	1.8272G 	2.0	12.2761
0.14	0.70	3.05	1.6186G 	2.0	12.4797
0.16	0.10	3.05	6.4647PB	2.0	12.8388
0.16	0.12	3.05	5.7879PB	2.0	10.4132
0.16	0.14	3.05	4.7490PB	2.0	 8.7520
0.16	0.16	3.05	2.4735PB	2.0	 7.5728
0.16	0.18	3.05	0.1833PB	2.0	 6.7823
0.16	0.20	3.05	7.1067B 	2.0	 6.2876
0.16	0.22	3.05	4.3592B 	2.0	 6.0826
0.16	0.24	3.05	1.7282B 	2.0	 6.1780
0.16	0.26	3.05	9.3283BG	2.0	 6.4342
0.16	0.28	3.05	7.5279BG	2.0	 6.6899
0.16	0.30	3.05	5.6263BG	2.0	 7.0063
0.16	0.32	3.05	4.2035BG	2.0	 7.3188
0.16	0.34	3.05	3.0806BG	2.0	 7.6272
0.16	0.36	3.05	1.9587BG	2.0	 7.9441
0.16	0.38	3.05	0.8088BG	2.0	 8.3012
0.16	0.40	3.05	9.7073G 	2.0	 8.6260
0.16	0.42	3.05	8.5738G 	2.0	 8.9304
0.16	0.44	3.05	7.5102G 	2.0	 9.2055
0.16	0.46	3.05	6.5455G 	2.0	 9.4457
0.16	0.48	3.05	5.6299G 	2.0	 9.6603
0.16	0.50	3.05	4.8439G 	2.0	 9.8742
0.16	0.52	3.05	4.3038G 	2.0	10.0870
0.16	0.54	3.05	3.7824G 	2.0	10.2834
0.16	0.56	3.05	3.2813G 	2.0	10.4679
0.16	0.58	3.05	2.7929G 	2.0	10.6388
0.16	0.60	3.05	2.4056G 	2.0	10.8352
0.16	0.62	3.05	2.1662G 	2.0	11.0695
0.16	0.64	3.05	1.9371G 	2.0	11.2989
0.16	0.66	3.05	1.7197G 	2.0	11.5241
0.16	0.68	3.05	1.5121G 	2.0	11.7448
0.16	0.70	3.05	1.3134G 	2.0	11.9615
0.18	0.10	3.05	7.6819PB	2.0	13.4301
0.18	0.12	3.05	7.1078PB	2.0	10.6019
0.18	0.14	3.05	6.2953PB	2.0	 8.7035
0.18	0.16	3.05	5.2133PB	2.0	 7.3047
0.18	0.18	3.05	2.8727PB	2.0	 6.3030
0.18	0.20	3.05	0.2547PB	2.0	 5.6190
0.18	0.22	3.05	6.8418B 	2.0	 5.2502
0.18	0.24	3.05	3.7155B 	2.0	 5.1562
0.18	0.26	3.05	0.5685B 	2.0	 5.3392
0.18	0.28	3.05	8.2142BG	2.0	 5.6400
0.18	0.30	3.05	6.0659BG	2.0	 6.0069
0.18	0.32	3.05	4.2977BG	2.0	 6.3662
0.18	0.34	3.05	2.9819BG	2.0	 6.6995
0.18	0.36	3.05	1.6688BG	2.0	 7.0432
0.18	0.38	3.05	0.4047BG	2.0	 7.3917
0.18	0.40	3.05	9.1358G 	2.0	 7.7460
0.18	0.42	3.05	7.9109G 	2.0	 8.0949
0.18	0.44	3.05	6.7913G 	2.0	 8.3964
0.18	0.46	3.05	5.7529G 	2.0	 8.6671
0.18	0.48	3.05	4.8465G 	2.0	 8.9145
0.18	0.50	3.05	4.2397G 	2.0	 9.1642
0.18	0.52	3.05	3.6724G 	2.0	 9.3950
0.18	0.54	3.05	3.1401G 	2.0	 9.6117
0.18	0.56	3.05	2.6373G 	2.0	 9.8168
0.18	0.58	3.05	2.3143G 	2.0	10.0586
0.18	0.60	3.05	2.0512G 	2.0	10.3009
0.18	0.62	3.05	1.8062G 	2.0	10.5393
0.18	0.64	3.05	1.5744G 	2.0	10.7720
0.18	0.66	3.05	1.3534G 	2.0	10.9987
0.18	0.68	3.05	1.1424G 	2.0	11.2204
0.18	0.70	3.05	0.9414G 	2.0	11.4383
0.20	0.10	3.05	9.3456PB	2.0	14.1256
0.20	0.12	3.05	8.7181PB	2.0	11.1462
0.20	0.14	3.05	7.8927PB	2.0	 8.8698
0.20	0.16	3.05	6.8765PB	2.0	 7.2694
0.20	0.18	3.05	5.5995PB	2.0	 6.0166
0.20	0.20	3.05	3.2581PB	2.0	 5.1814
0.20	0.22	3.05	0.2201PB	2.0	 4.5658
0.20	0.24	3.05	6.4735B 	2.0	 4.2636
0.20	0.26	3.05	2.6901B 	2.0	 4.2666
0.20	0.28	3.05	9.1803BG	2.0	 4.5559
0.20	0.30	3.05	6.5653BG	2.0	 4.9272
0.20	0.32	3.05	4.3693BG	2.0	 5.3542
0.20	0.34	3.05	2.8290BG	2.0	 5.7554
0.20	0.36	3.05	1.2866BG	2.0	 6.1470
0.20	0.38	3.05	9.8412G 	2.0	 6.5168
0.20	0.40	3.05	8.3620G 	2.0	 6.8825
0.20	0.42	3.05	7.0547G 	2.0	 7.2449
0.20	0.44	3.05	5.8782G 	2.0	 7.5974
0.20	0.46	3.05	4.8557G 	2.0	 7.9478
0.20	0.48	3.05	4.1460G 	2.0	 8.2448
0.20	0.50	3.05	3.4986G 	2.0	 8.5110
0.20	0.52	3.05	2.9025G 	2.0	 8.7542
0.20	0.54	3.05	2.4173G 	2.0	 8.9946
0.20	0.56	3.05	2.1381G 	2.0	 9.2609
0.20	0.58	3.05	1.8761G 	2.0	 9.5212
0.20	0.60	3.05	1.6327G 	2.0	 9.7789
0.20	0.62	3.05	1.4047G 	2.0	10.0334
0.20	0.64	3.05	1.1698G 	2.0	10.2671
0.20	0.66	3.05	0.9463G 	2.0	10.4947
0.20	0.68	3.05	0.7321G 	2.0	10.7158
0.20	0.70	3.05	0.5325G 	2.0	10.9366
0.22	0.10	3.05	1.0134P 	2.0	14.9512
0.22	0.12	3.05	0.4469P 	2.0	11.7987
0.22	0.14	3.05	9.7271PB	2.0	 9.2867
0.22	0.16	3.05	8.7583PB	2.0	 7.4365
0.22	0.18	3.05	7.5479PB	2.0	 5.9474
0.22	0.20	3.05	6.0516PB	2.0	 4.9147
0.22	0.22	3.05	3.6879PB	2.0	 4.0961
0.22	0.24	3.05	0.0289PB	2.0	 3.5736
0.22	0.26	3.05	5.5856B 	2.0	 3.4060
0.22	0.28	3.05	0.8152B 	2.0	 3.5470
0.22	0.30	3.05	7.3381BG	2.0	 3.8629
0.22	0.32	3.05	4.4295BG	2.0	 4.3045
0.22	0.34	3.05	2.5529BG	2.0	 4.7507
0.22	0.36	3.05	0.6892BG	2.0	 5.2071
0.22	0.38	3.05	8.9607G 	2.0	 5.6346
0.22	0.40	3.05	7.3684G 	2.0	 6.0327
0.22	0.42	3.05	5.9759G 	2.0	 6.4132
0.22	0.44	3.05	4.7854G 	2.0	 6.7886
0.22	0.46	3.05	3.9649G 	2.0	 7.1753
0.22	0.48	3.05	3.2375G 	2.0	 7.5434
0.22	0.50	3.05	2.5869G 	2.0	 7.8953
0.22	0.52	3.05	2.2209G 	2.0	 8.2000
0.22	0.54	3.05	1.9179G 	2.0	 8.4730
0.22	0.56	3.05	1.6380G 	2.0	 8.7403
0.22	0.58	3.05	1.3777G 	2.0	 9.0024
0.22	0.60	3.05	1.1347G 	2.0	 9.2601
0.22	0.62	3.05	0.9072G 	2.0	 9.5141
0.22	0.64	3.05	0.6911G 	2.0	 9.7629
0.22	0.66	3.05	0.4892G 	2.0	10.0099
0.22	0.68	3.05	0.2790G 	2.0	10.2345
0.22	0.70	3.05	0.0750G 	2.0	10.4514
0.24	0.10	3.05	2.7150P 	2.0	15.7598
0.24	0.12	3.05	2.1887P 	2.0	12.4903
0.24	0.14	3.05	1.6335P 	2.0	 9.9091
0.24	0.16	3.05	0.8834P 	2.0	 7.8659
0.24	0.18	3.05	9.7632PB	2.0	 6.2314
0.24	0.20	3.05	8.4241PB	2.0	 4.8604
0.24	0.22	3.05	6.7083PB	2.0	 3.8137
0.24	0.24	3.05	4.0466PB	2.0	 3.1254
0.24	0.26	3.05	9.5586B 	2.0	 2.6747
0.24	0.28	3.05	3.8100B 	2.0	 2.6509
0.24	0.30	3.05	8.2842BG	2.0	 2.9551
0.24	0.32	3.05	4.4360BG	2.0	 3.3767
0.24	0.34	3.05	2.0449BG	2.0	 3.8132
0.24	0.36	3.05	9.7696G 	2.0	 4.2921
0.24	0.38	3.05	7.6787G 	2.0	 4.7796
0.24	0.40	3.05	5.9731G 	2.0	 5.2200
0.24	0.42	3.05	4.6350G 	2.0	 5.6391
0.24	0.44	3.05	3.6679G 	2.0	 6.0653
0.24	0.46	3.05	2.8201G 	2.0	 6.4622
0.24	0.48	3.05	2.2704G 	2.0	 6.8578
