Description:
The Munsell renotation [Newhall1943, Table I] expresses Munsell colours, when
illuminated by illuminant C, in xyY coordinates.  This file contains an inverse
table, that converts xyY coordinates into Munsell notation.  The xy chromaticity
values in this file were chosen to lie on Cartestian grid points, and the values
of Y were chosen to correspond to integer Munsell values.  Each row of the file
was generated by a call to the routine xyYToMunsell.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  The file xyYToMunsell.m contains a detailed description of
the inversion algorithm, and a complete discussion appears in [Centore2012].
Those wishing to perform further conversions from Munsell to xyY coordinates
can either use routine xyYToMunsell.m directly, or write an interpolation routine
using the data in this file.  The second method is likely faster, but would not
be any more accurate than the first method.
The data in this file were produced in January 2011, and supersede an earlier version
produced in September 2010.  The
inversion algorithm used here, from [Centore2012] is slightly different from the algorithm
used then.

[Centore2012] Paul Centore, "An Open Source Inversion Algorithm for the Munsell Renotation,"
        Color Research & Application, 2012, to appear.  This paper is currently 
	available at www.99main.com/~centore
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  x	  y	  Y	   H    	 V	   C
0.12	0.28	1.18	5.6585BG	1.0	 5.6293
0.12	0.30	1.18	4.4795BG	1.0	 5.7282
0.12	0.32	1.18	3.5825BG	1.0	 5.8149
0.12	0.34	1.18	2.7134BG	1.0	 5.8932
0.12	0.36	1.18	1.8397BG	1.0	 5.9730
0.12	0.38	1.18	0.9753BG	1.0	 6.0487
0.12	0.40	1.18	0.1207BG	1.0	 6.1230
0.12	0.42	1.18	9.1961G 	1.0	 6.2066
0.12	0.44	1.18	8.2953G 	1.0	 6.2884
0.12	0.46	1.18	7.4276G 	1.0	 6.3617
0.12	0.48	1.18	6.6060G 	1.0	 6.4445
0.12	0.50	1.18	5.8067G 	1.0	 6.5194
0.12	0.52	1.18	5.0236G 	1.0	 6.5871
0.12	0.54	1.18	4.4923G 	1.0	 6.6705
0.12	0.56	1.18	3.9875G 	1.0	 6.7462
0.12	0.58	1.18	3.4947G 	1.0	 6.8141
0.12	0.60	1.18	3.0148G 	1.0	 6.8764
0.12	0.62	1.18	2.5426G 	1.0	 6.9330
0.12	0.64	1.18	2.2674G 	1.0	 7.0233
0.12	0.66	1.18	2.0202G 	1.0	 7.1108
0.12	0.68	1.18	1.7878G 	1.0	 7.1954
0.12	0.70	1.18	1.5640G 	1.0	 7.2757
0.14	0.10	1.18	5.1701PB	1.0	 8.9834
0.14	0.12	1.18	3.6667PB	1.0	 7.6382
0.14	0.14	1.18	1.7131PB	1.0	 6.6617
0.14	0.16	1.18	9.5733B 	1.0	 5.8808
0.14	0.18	1.18	6.6427B 	1.0	 5.3958
0.14	0.20	1.18	4.0807B 	1.0	 5.0701
0.14	0.22	1.18	1.6688B 	1.0	 4.9069
0.14	0.24	1.18	9.4839BG	1.0	 4.8782
0.14	0.26	1.18	7.8109BG	1.0	 4.9209
0.14	0.28	1.18	6.1332BG	1.0	 4.9972
0.14	0.30	1.18	4.6580BG	1.0	 5.1100
0.14	0.32	1.18	3.6459BG	1.0	 5.2287
0.14	0.34	1.18	2.6752BG	1.0	 5.3345
0.14	0.36	1.18	1.6922BG	1.0	 5.4471
0.14	0.38	1.18	0.7425BG	1.0	 5.5447
0.14	0.40	1.18	9.8032G 	1.0	 5.6376
0.14	0.42	1.18	8.7888G 	1.0	 5.7379
0.14	0.44	1.18	7.8187G 	1.0	 5.8316
0.14	0.46	1.18	6.9137G 	1.0	 5.9334
0.14	0.48	1.18	6.0487G 	1.0	 6.0354
0.14	0.50	1.18	5.2035G 	1.0	 6.1279
0.14	0.52	1.18	4.5633G 	1.0	 6.2360
0.14	0.54	1.18	4.0098G 	1.0	 6.3353
0.14	0.56	1.18	3.4769G 	1.0	 6.4243
0.14	0.58	1.18	2.9625G 	1.0	 6.5045
0.14	0.60	1.18	2.4767G 	1.0	 6.5799
0.14	0.62	1.18	2.1935G 	1.0	 6.6848
0.14	0.64	1.18	1.9262G 	1.0	 6.7822
0.14	0.66	1.18	1.6743G 	1.0	 6.8742
0.14	0.68	1.18	1.4344G 	1.0	 6.9613
0.14	0.70	1.18	1.2050G 	1.0	 7.0442
0.16	0.10	1.18	6.2394PB	1.0	 9.0888
0.16	0.12	1.18	5.5842PB	1.0	 7.5002
0.16	0.14	1.18	4.3548PB	1.0	 6.3543
0.16	0.16	1.18	2.0912PB	1.0	 5.5304
0.16	0.18	1.18	9.6981B 	1.0	 4.8886
0.16	0.20	1.18	6.5663B 	1.0	 4.4491
0.16	0.22	1.18	3.7323B 	1.0	 4.2239
0.16	0.24	1.18	0.8906B 	1.0	 4.1857
0.16	0.26	1.18	8.7155BG	1.0	 4.2387
0.16	0.28	1.18	6.7533BG	1.0	 4.3562
0.16	0.30	1.18	4.9023BG	1.0	 4.4774
0.16	0.32	1.18	3.7278BG	1.0	 4.6376
0.16	0.34	1.18	2.6259BG	1.0	 4.7771
0.16	0.36	1.18	1.5043BG	1.0	 4.9282
0.16	0.38	1.18	0.4447BG	1.0	 5.0599
0.16	0.40	1.18	9.3400G 	1.0	 5.1819
0.16	0.42	1.18	8.2219G 	1.0	 5.2978
0.16	0.44	1.18	7.1794G 	1.0	 5.4107
0.16	0.46	1.18	6.2222G 	1.0	 5.5287
0.16	0.48	1.18	5.3132G 	1.0	 5.6419
0.16	0.50	1.18	4.6006G 	1.0	 5.7704
0.16	0.52	1.18	4.0117G 	1.0	 5.9083
0.16	0.54	1.18	3.4521G 	1.0	 6.0351
0.16	0.56	1.18	2.9029G 	1.0	 6.1366
0.16	0.58	1.18	2.4174G 	1.0	 6.2359
0.16	0.60	1.18	2.1031G 	1.0	 6.3534
0.16	0.62	1.18	1.8119G 	1.0	 6.4622
0.16	0.64	1.18	1.5396G 	1.0	 6.5620
0.16	0.66	1.18	1.2825G 	1.0	 6.6563
0.16	0.68	1.18	1.0402G 	1.0	 6.7461
0.16	0.70	1.18	0.8029G 	1.0	 6.8295
0.18	0.10	1.18	7.3774PB	1.0	 9.4256
0.18	0.12	1.18	6.8348PB	1.0	 7.5145
0.18	0.14	1.18	6.0698PB	1.0	 6.1917
0.18	0.16	1.18	4.9900PB	1.0	 5.2698
0.18	0.18	1.18	2.4829PB	1.0	 4.5298
0.18	0.20	1.18	9.8185B 	1.0	 3.9183
0.18	0.22	1.18	6.3101B 	1.0	 3.6363
0.18	0.24	1.18	2.9648B 	1.0	 3.5500
0.18	0.26	1.18	9.7269BG	1.0	 3.6042
0.18	0.28	1.18	7.5368BG	1.0	 3.7274
