Description:
This file lists sRGB centroids for the colour categories of the ISCC-NBS system.
The ISCC-NBS system has three levels, each with different categories.  The file
lists the Level 1 centroids first, followed by the Level 2 and 3 centroids.
No sRGB centroids are available for 7 of the 267 Level 3 categories, so these
are indicated with NaN.

DESCRIPTION ENDS HERE
Number	 Name	 R	 G	 B
152	Blackish green	31	42	42
153	Greenish white	224	226	229
154	Light greenish gray	186	190	193
155	Greenish gray	132	136	136
156	Dark greenish gray	84	88	88
157	Greenish black	33	38	38
158	Vivid bluish green	19	252	213
159	Brilliant bluish green	53	215	206
160	Strong bluish green	13	143	130
161	Deep bluish green	NaN	NaN	NaN
162	Very light bluish green	152	225	224
163	Light bluish green	95	171	171
164	Moderate bluish green	41	122	123
165	Dark bluish green	21	75	77
166	Very dark bluish green	10	45	46
167	Vivid greenish blue	NaN	NaN	NaN
168	Brilliant greenish blue	45	188	226
169	Strong greenish blue	19	133	175
170	Deep greenish blue	NaN	NaN	NaN
171	Very light greenish blue	148	214	239
172	Light greenish blue	101	168	195
173	Moderate greenish blue	42	118	145
174	Dark greenish blue	19	74	96
175	Very dark greenish blue	11	44	59
176	Vivid blue	27	92	215
177	Brilliant blue	65	157	237
178	Strong blue	39	108	189
179	Deep blue	17	48	116
180	Very light blue	153	198	249
181	Light blue	115	164	220
182	Moderate blue	52	104	158
183	Dark blue	23	52	89
184	Very pale blue	194	210	236
185	Pale blue	145	162	187
186	Grayish blue	84	104	127
187	Dark grayish blue	50	63	78
188	Blackish blue	30	37	49
189	Bluish white	225	225	241
190	Light bluish gray	183	184	198
191	Bluish gray	131	135	147
192	Dark bluish gray	80	84	95
193	Bluish black	36	39	46
194	Vivid purplish blue	68	54	209
195	Brilliant purplish blue	128	136	226
196	Strong purplish blue	83	89	181
197	Deep purplish blue	42	40	111
198	Very light purplish blue	183	192	248
199	Light purplish blue	137	145	203
200	Moderate purplish blue	77	78	135
201	Dark purplish blue	34	34	72
202	Very pale purplish blue	197	201	240
203	Pale purplish blue	142	146	183
204	Grayish purplish blue	73	77	113
205	Vivid violet	121	49	211
206	Brilliant violet	152	127	220
207	Strong violet	97	65	156
208	Deep violet	60	22	104
209	Very light violet	201	186	248
210	Light violet	155	140	202
211	Moderate violet	92	73	133
212	Dark violet	52	37	77
213	Very pale violet	208	198	239
214	Pale violet	154	144	181
215	Grayish violet	88	78	114
216	Vivid purple	185	53	213
217	Brilliant purple	206	140	227
218	Strong purple	147	82	168
219	Deep purple	101	34	119
220	Very deep purple	70	10	85
221	Very light purple	228	185	243
222	Light purple	188	147	204
223	Moderate purple	135	94	150
224	Dark purple	86	55	98
225	Very dark purple	55	27	65
226	Very pale purple	224	203	235
227	Pale purple	173	151	179
228	Grayish purple	123	102	126
229	Dark grayish purple	81	63	81
230	Blackish purple	47	34	49
231	Purplish white	235	223	239
232	Light purplish gray	195	183	198
233	Purplish gray	143	132	144
234	Dark purplish gray	92	82	94
235	Purplish black	43	38	48
236	Vivid reddish purple	212	41	185
237	Strong reddish purple	167	73	148
238	Deep reddish purple	118	26	106
239	Very deep reddish purple	79	9	74
240	Light reddish purple	189	128	174
241	Moderate reddish purple	150	88	136
242	Dark reddish purple	95	52	88
243	Very dark reddish purple	63	24	60
244	Pale reddish purple	173	137	165
245	Grayish reddish purple	134	98	126
246	Brilliant purplish pink	252	161	231
247	Strong purplish pink	244	131	205
248	Deep purplish pink	223	106	172
249	Light purplish pink	245	178	219
250	Moderate purplish pink	222	152	191
251	Dark purplish pink	198	125	157
252	Pale purplish pink	235	200	223
253	Grayish purplish pink	199	163	185
254	Vivid purplish red	221	35	136
255	Strong purplish red	184	55	115
256	Deep purplish red	136	16	85
257	Very deep purplish red	84	6	60
258	Moderate purplish red	171	75	116
259	Dark purplish red	110	41	76
260	Very dark purplish red	67	20	50
261	Light grayish purplish red	178	135	155
262	Grayish purplish red	148	92	115
263	White	231	225	233
264	Light gray	189	183	191
265	Medium gray	138	132	137
266	Dark gray	88	84	88
267	Black	43	41	43
LEVEL 3 INFORMATION ENDS HERE
