Description:
Draft: This file expresses sRGB colours in the Munsell system.  The first
three columns are the R, G, and B components in the sRGB system, varying
from 0 to 255.  The next three columns are the Munsell hue (H), value (V), and
chroma (C).  4096 conversions were attempted.  Some sRGB colours are beyond
the MacAdam limits, meaning that they cannot be produced as surface colours.
Therefore, those colours are not in the Munsell system.  In addition, colours
near the MacAdam limits are difficult to convert to the Munsell system, so
so sometimes the conversion failed.  In all, 3879 of the 4096 sRGB colours were
successfully converted.

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
 R	 G	 B	  H	  V	  C
34	204	153	5.19G	 7.27	10.66
34	204	170	8.58G	 7.31	 9.93
34	204	187	2.51BG	 7.35	 9.29
34	204	204	5.97BG	 7.40	 8.86
34	204	221	9.58BG	 7.46	 8.70
34	204	238	2.99B	 7.52	 8.84
34	204	255	5.61B	 7.58	 9.37
34	221	0	9.70GY	 7.67	17.61
34	221	17	9.77GY	 7.67	17.40
34	221	34	9.92GY	 7.67	17.04
34	221	51	0.14G	 7.68	16.59
34	221	68	0.46G	 7.69	16.08
34	221	85	0.88G	 7.71	15.43
34	221	102	1.40G	 7.73	14.66
34	221	119	2.04G	 7.75	13.75
34	221	136	2.90G	 7.78	12.76
34	221	153	4.11G	 7.81	11.90
34	221	170	6.04G	 7.84	11.07
34	221	187	9.28G	 7.88	10.43
34	221	204	2.95BG	 7.93	 9.85
34	221	221	6.22BG	 7.98	 9.41
34	221	238	9.68BG	 8.04	 9.14
34	221	255	2.82B	 8.09	 9.15
34	238	0	9.77GY	 8.22	18.45
34	238	17	9.84GY	 8.22	18.27
34	238	34	9.97GY	 8.23	17.93
34	238	51	0.15G	 8.23	17.54
34	238	68	0.41G	 8.24	17.05
34	238	85	0.76G	 8.26	16.43
34	238	102	1.21G	 8.27	15.69
34	238	119	1.75G	 8.29	14.85
34	238	136	2.42G	 8.32	13.94
34	238	153	3.39G	 8.35	13.06
34	238	170	4.54G	 8.38	12.12
34	238	187	6.79G	 8.41	11.31
34	238	204	9.85G	 8.46	10.68
34	238	221	3.33BG	 8.50	10.08
34	238	238	6.44BG	 8.55	 9.58
34	238	255	9.73BG	 8.61	 9.23
34	255	0	9.82GY	 8.76	19.20
34	255	17	9.88GY	 8.77	19.02
34	255	34	9.98GY	 8.77	18.70
34	255	51	0.14G	 8.78	18.29
34	255	68	0.35G	 8.79	17.77
34	255	85	0.64G	 8.80	17.15
34	255	102	1.02G	 8.81	16.44
34	255	119	1.49G	 8.83	15.66
34	255	136	2.09G	 8.85	14.83
34	255	153	2.86G	 8.88	14.06
34	255	170	3.81G	 8.91	13.21
34	255	187	4.92G	 8.94	12.24
34	255	204	7.48G	 8.98	11.46
34	255	221	0.37BG	 9.02	11.04
34	255	238	3.62BG	 9.06	10.81
34	255	255	6.54BG	 9.11	10.86
51	0	85	1.51P	 1.13	10.81
51	0	102	9.97PB	 1.32	12.43
51	0	119	8.97PB	 1.53	14.19
51	0	136	8.32PB	 1.76	16.03
51	0	153	7.95PB	 1.98	18.15
51	0	170	7.62PB	 2.21	19.68
51	0	187	7.45PB	 2.44	21.19
51	17	34	1.16R	 1.03	 3.37
51	17	51	0.76RP	 1.12	 4.71
51	17	68	3.80P	 1.23	 6.78
51	17	85	1.19P	 1.38	 8.83
51	17	102	9.81PB	 1.55	10.84
51	17	119	8.93PB	 1.74	12.97
51	17	136	8.38PB	 1.93	15.15
51	17	153	7.96PB	 2.14	16.93
51	17	170	7.66PB	 2.35	18.57
51	17	187	7.47PB	 2.56	20.33
51	17	238	7.32PB	 3.20	25.52
51	34	0	3.71Y	 1.43	 3.12
51	34	17	1.05Y	 1.45	 2.20
51	34	34	2.68YR	 1.50	 1.27
51	34	51	0.43RP	 1.56	 1.84
51	34	68	2.40P	 1.65	 4.04
51	34	85	0.25P	 1.77	 6.49
51	34	102	9.35PB	 1.90	 8.81
51	34	119	8.74PB	 2.05	11.13
51	34	136	8.26PB	 2.22	13.14
51	34	153	7.90PB	 2.39	15.01
51	34	170	7.65PB	 2.57	16.86
51	34	187	7.49PB	 2.76	18.93
51	34	204	7.43PB	 2.96	21.03
51	34	221	7.37PB	 3.15	22.69
51	51	0	1.16GY	 2.01	 4.54
51	51	17	1.41GY	 2.03	 3.67
51	51	34	1.84GY	 2.05	 2.36
51	51	51	6.78GY	 2.10	 0.50
51	51	68	6.97PB	 2.17	 1.74
51	51	85	7.74PB	 2.25	 3.96
51	51	102	7.88PB	 2.35	 6.23
51	51	119	7.89PB	 2.47	 8.43
51	51	136	7.81PB	 2.60	10.63
51	51	153	7.68PB	 2.75	12.86
51	51	170	7.58PB	 2.90	14.91
51	51	187	7.48PB	 3.06	16.97
51	51	204	7.41PB	 3.23	19.05
51	51	221	7.36PB	 3.41	20.95
51	51	238	7.33PB	 3.59	22.85
51	51	255	7.31PB	 3.77	24.79
51	68	0	4.84GY	 2.60	 5.89
51	68	17	5.34GY	 2.61	 5.22
51	68	34	6.44GY	 2.63	 4.22
51	68	51	9.33GY	 2.67	 2.99
51	68	68	1.82BG	 2.72	 2.00
51	68	85	8.96B	 2.78	 2.30
51	68	102	4.45PB	 2.86	 4.14
51	68	119	6.10PB	 2.95	 6.30
51	68	136	6.75PB	 3.05	 8.59
51	68	153	7.08PB	 3.17	10.73
51	68	170	7.22PB	 3.30	12.88
51	68	187	7.26PB	 3.43	14.93
51	68	204	7.28PB	 3.58	17.00
51	68	221	7.29PB	 3.73	19.02
51	68	238	7.31PB	 3.89	21.08
51	68	255	7.31PB	 4.06	23.16
51	85	0	6.46GY	 3.18	 7.57
51	85	17	6.87GY	 3.19	 6.95
51	85	34	7.82GY	 3.21	 6.05
51	85	51	9.64GY	 3.23	 4.89
51	85	68	3.04G	 3.27	 3.79
51	85	85	3.28BG	 3.32	 3.00
51	85	102	4.41B	 3.38	 3.12
51	85	119	1.14PB	 3.45	 4.62
51	85	136	4.31PB	 3.54	 6.60
51	85	153	5.71PB	 3.63	 8.74
51	85	170	6.36PB	 3.74	10.96
51	85	187	6.76PB	 3.85	13.22
51	85	204	6.98PB	 3.98	15.41
51	85	221	7.10PB	 4.11	17.30
51	85	238	7.17PB	 4.25	19.00
51	85	255	7.22PB	 4.40	20.78
51	102	0	7.36GY	 3.76	 8.74
51	102	17	7.75GY	 3.76	 8.25
51	102	34	8.47GY	 3.78	 7.51
51	102	51	9.78GY	 3.80	 6.52
51	102	68	1.53G	 3.83	 5.51
51	102	85	5.80G	 3.87	 4.56
51	102	102	3.96BG	 3.92	 3.93
51	102	119	2.38B	 3.97	 4.02
51	102	136	8.68B	 4.04	 5.38
51	102	153	2.35PB	 4.12	 7.15
51	102	170	4.64PB	 4.21	 9.12
51	102	187	5.68PB	 4.31	11.22
51	102	204	6.25PB	 4.42	13.26
51	102	221	6.61PB	 4.53	15.21
51	102	238	6.85PB	 4.65	17.08
51	102	255	7.01PB	 4.78	18.86
51	119	0	8.04GY	 4.32	10.06
51	119	17	8.32GY	 4.33	 9.65
51	119	34	8.86GY	 4.34	 8.98
51	119	51	9.86GY	 4.36	 8.10
51	119	68	1.00G	 4.38	 7.15
51	119	85	2.85G	 4.41	 6.17
51	119	102	7.72G	 4.46	 5.35
51	119	119	4.35BG	 4.51	 4.86
51	119	136	1.13B	 4.56	 4.88
51	119	153	6.82B	 4.63	 5.87
51	119	170	0.79PB	 4.71	 7.49
51	119	187	3.17PB	 4.79	 9.38
51	119	204	5.01PB	 4.88	11.39
51	119	221	5.75PB	 4.98	13.43
51	119	238	6.25PB	 5.09	15.24
51	119	255	6.59PB	 5.20	16.95
51	136	0	8.50GY	 4.89	11.47
51	136	17	8.73GY	 4.89	11.12
51	136	34	9.16GY	 4.90	10.54
51	136	51	9.91GY	 4.92	 9.76
51	136	68	0.68G	 4.94	 8.84
51	136	85	1.88G	 4.97	 7.89
51	136	102	4.25G	 5.00	 7.06
51	136	119	9.12G	 5.04	 6.33
51	136	136	4.75BG	 5.09	 5.86
51	136	153	0.43B	 5.15	 5.72
51	136	170	5.54B	 5.21	 6.47
51	136	187	9.49B	 5.29	 7.91
51	136	204	1.96PB	 5.37	 9.63
51	136	221	3.89PB	 5.46	11.43
51	136	238	5.22PB	 5.55	13.21
51	136	255	5.84PB	 5.65	14.90
51	153	0	8.82GY	 5.45	12.74
51	153	17	9.00GY	 5.46	12.41
51	153	34	9.34GY	 5.46	11.87
51	153	51	9.91GY	 5.48	11.12
51	153	68	0.51G	 5.49	10.29
51	153	85	1.37G	 5.52	 9.36
51	153	102	2.76G	 5.55	 8.53
51	153	119	5.29G	 5.58	 7.64
51	153	136	0.14BG	 5.63	 6.95
51	153	153	4.99BG	 5.68	 6.47
51	153	170	0.03B	 5.73	 6.37
51	153	187	4.62B	 5.80	 7.00
51	153	204	8.26B	 5.87	 8.33
51	153	221	1.01PB	 5.95	10.00
51	153	238	2.88PB	 6.03	11.57
51	153	255	4.48PB	 6.12	13.16
51	170	0	9.10GY	 6.01	14.06
51	170	17	9.24GY	 6.02	13.77
51	170	34	9.50GY	 6.02	13.30
51	170	51	9.95GY	 6.03	12.64
51	170	68	0.43G	 6.05	11.89
51	170	85	1.09G	 6.07	10.96
51	170	102	2.07G	 6.10	10.07
51	170	119	3.69G	 6.13	 9.26
51	170	136	6.45G	 6.17	 8.42
51	170	153	1.01BG	 6.21	 7.68
51	170	170	5.33BG	 6.26	 7.20
51	170	187	9.83BG	 6.32	 7.12
51	170	204	4.00B	 6.38	 7.59
51	170	221	7.33B	 6.45	 8.67
51	170	238	0.14PB	 6.53	10.06
51	170	255	2.01PB	 6.61	11.48
51	187	0	9.27GY	 6.57	15.21
51	187	17	9.38GY	 6.58	14.95
51	187	34	9.60GY	 6.58	14.50
51	187	51	9.97GY	 6.59	13.86
51	187	68	0.37G	 6.61	13.18
51	187	85	0.90G	 6.62	12.35
51	187	102	1.64G	 6.65	11.45
51	187	119	2.74G	 6.68	10.64
51	187	136	4.38G	 6.71	 9.83
51	187	153	7.40G	 6.75	 9.05
51	187	170	1.74BG	 6.79	 8.38
51	187	187	5.68BG	 6.84	 7.97
51	187	204	9.72BG	 6.90	 7.88
51	187	221	3.52B	 6.96	 8.27
51	187	238	6.60B	 7.03	 9.06
51	187	255	9.34B	 7.10	10.18
51	204	0	9.43GY	 7.13	16.43
51	204	17	9.53GY	 7.14	16.18
51	204	34	9.70GY	 7.14	15.78
51	204	51	9.99GY	 7.15	15.19
51	204	68	0.37G	 7.16	14.65
51	204	85	0.87G	 7.18	13.96
51	204	102	1.43G	 7.20	12.98
51	204	119	2.19G	 7.22	11.98
51	204	136	3.41G	 7.25	11.18
51	204	153	4.94G	 7.29	10.33
51	204	170	8.31G	 7.33	 9.60
51	204	187	2.35BG	 7.37	 8.97
51	204	204	5.94BG	 7.43	 8.54
51	204	221	9.67BG	 7.48	 8.39
51	204	238	3.16B	 7.54	 8.58
51	204	255	5.87B	 7.61	 9.15
51	221	0	9.54GY	 7.69	17.38
51	221	17	9.62GY	 7.69	17.17
51	221	34	9.76GY	 7.70	16.80
51	221	51	10.00G	 7.70	16.27
51	221	68	0.32G	 7.71	15.77
51	221	85	0.74G	 7.73	15.13
51	221	102	1.26G	 7.75	14.38
51	221	119	1.90G	 7.77	13.45
51	221	136	2.73G	 7.80	12.44
51	221	153	3.96G	 7.83	11.61
51	221	170	5.78G	 7.86	10.78
51	221	187	9.07G	 7.91	10.15
51	221	204	2.85BG	 7.95	 9.56
51	221	221	6.19BG	 8.00	 9.12
51	221	238	9.74BG	 8.06	 8.85
51	221	255	2.95B	 8.12	 8.91
51	238	0	9.65GY	 8.24	18.24
51	238	17	9.71GY	 8.24	18.05
51	238	34	9.83GY	 8.25	17.72
51	238	51	0.03G	 8.25	17.25
51	238	68	0.29G	 8.26	16.76
51	238	85	0.64G	 8.28	16.15
51	238	102	1.08G	 8.29	15.41
51	238	119	1.63G	 8.31	14.58
51	238	136	2.30G	 8.34	13.66
51	238	153	3.25G	 8.37	12.76
51	238	170	4.41G	 8.40	11.86
51	238	187	6.57G	 8.43	11.04
51	238	204	9.68G	 8.48	10.42
51	238	221	3.24BG	 8.52	 9.81
51	238	238	6.42BG	 8.57	 9.31
51	238	255	9.79BG	 8.62	 8.99
51	255	0	9.71GY	 8.78	19.01
51	255	17	9.77GY	 8.78	18.83
51	255	34	9.88GY	 8.79	18.51
51	255	51	0.04G	 8.79	18.03
51	255	68	0.25G	 8.80	17.53
51	255	85	0.54G	 8.82	16.91
51	255	102	0.91G	 8.83	16.21
51	255	119	1.38G	 8.85	15.42
51	255	136	1.97G	 8.87	14.59
51	255	153	2.75G	 8.90	13.80
51	255	170	3.70G	 8.92	12.96
51	255	187	4.82G	 8.96	12.00
51	255	204	7.30G	 8.99	11.23
51	255	221	0.20BG	 9.04	10.98
51	255	238	3.52BG	 9.08	10.76
51	255	255	6.51BG	 9.13	10.82
68	0	0	2.91YR	 1.04	 6.84
68	0	17	9.82R	 1.06	 6.39
68	0	34	3.45R	 1.12	 6.52
68	0	51	6.65RP	 1.20	 7.33
68	0	68	0.67RP	 1.31	 8.58
68	0	85	5.36P	 1.45	10.25
68	0	102	2.51P	 1.61	11.94
68	0	119	1.00P	 1.79	13.89
68	0	136	9.98PB	 1.98	16.04
68	0	153	9.22PB	 2.18	17.56
68	0	170	8.67PB	 2.39	19.09
68	0	187	8.27PB	 2.59	20.73
68	0	204	8.01PB	 2.80	22.43
68	0	221	7.85PB	 3.01	24.30
68	0	238	7.68PB	 3.23	25.85
68	17	0	4.37YR	 1.30	 5.28
68	17	17	1.74YR	 1.33	 4.77
68	17	34	5.19R	 1.37	 4.78
68	17	51	7.00RP	 1.44	 5.58
68	17	68	0.33RP	 1.54	 6.99
68	17	85	5.03P	 1.66	 8.80
68	17	102	2.33P	 1.81	10.80
68	17	119	0.90P	 1.97	12.96
68	17	136	9.90PB	 2.14	14.79
68	17	153	9.18PB	 2.32	16.41
68	17	170	8.66PB	 2.51	18.08
68	17	187	8.28PB	 2.70	19.97
68	17	221	7.84PB	 3.11	23.55
68	17	238	7.70PB	 3.31	25.23
68	34	17	6.17YR	 1.72	 3.59
68	34	34	0.73YR	 1.76	 2.99
68	34	51	8.77RP	 1.82	 3.35
68	34	68	9.84P	 1.89	 4.90
68	34	85	4.46P	 1.99	 7.01
68	34	102	1.90P	 2.11	 8.85
68	34	119	0.57P	 2.24	10.79
68	34	136	9.70PB	 2.39	12.84
68	34	153	9.07PB	 2.55	14.71
68	34	170	8.61PB	 2.72	16.58
68	34	187	8.29PB	 2.90	18.68
68	34	204	8.05PB	 3.08	20.70
68	34	221	7.84PB	 3.27	22.38
68	34	238	7.70PB	 3.46	24.14
68	34	255	7.61PB	 3.65	25.95
68	51	0	5.17Y	 2.21	 4.52
68	51	17	4.09Y	 2.22	 3.69
68	51	34	1.47Y	 2.25	 2.52
68	51	51	2.19YR	 2.29	 1.31
68	51	68	9.77P	 2.35	 1.87
68	51	85	2.89P	 2.42	 3.88
68	51	102	0.70P	 2.52	 6.13
68	51	119	9.77PB	 2.63	 8.25
68	51	136	9.21PB	 2.75	10.44
68	51	153	8.79PB	 2.88	12.72
68	51	170	8.47PB	 3.03	14.76
68	51	187	8.19PB	 3.18	16.72
68	51	204	7.98PB	 3.34	18.79
68	51	221	7.83PB	 3.51	20.72
68	51	238	7.70PB	 3.68	22.74
68	51	255	7.63PB	 3.86	24.74
68	68	0	1.18GY	 2.74	 5.32
68	68	17	1.32GY	 2.75	 4.61
68	68	34	1.57GY	 2.77	 3.52
68	68	51	2.14GY	 2.81	 2.15
68	68	68	6.95GY	 2.85	 0.51
68	68	85	6.67PB	 2.91	 1.54
68	68	102	7.76PB	 2.98	 3.67
68	68	119	8.02PB	 3.07	 5.91
68	68	136	8.08PB	 3.17	 8.23
68	68	153	8.10PB	 3.28	10.44
68	68	170	8.02PB	 3.40	12.68
68	68	187	7.92PB	 3.53	14.79
68	68	204	7.82PB	 3.67	16.91
68	68	221	7.74PB	 3.82	18.95
68	68	238	7.68PB	 3.97	21.02
68	68	255	7.61PB	 4.13	22.96
68	85	0	4.53GY	 3.29	 6.79
68	85	17	4.93GY	 3.30	 6.17
68	85	34	5.47GY	 3.32	 5.20
68	85	51	6.62GY	 3.34	 3.98
68	85	68	9.61GY	 3.38	 2.78
68	85	85	1.35BG	 3.42	 1.85
68	85	102	8.46B	 3.48	 2.22
68	85	119	4.04PB	 3.55	 4.07
68	85	136	5.96PB	 3.63	 6.23
68	85	153	6.72PB	 3.73	 8.46
68	85	170	7.16PB	 3.83	10.75
68	85	187	7.40PB	 3.94	13.08
68	85	204	7.49PB	 4.06	15.21
68	85	221	7.51PB	 4.19	17.10
68	85	238	7.52PB	 4.32	18.85
68	85	255	7.52PB	 4.47	20.63
68	102	0	6.17GY	 3.84	 8.12
68	102	17	6.43GY	 3.85	 7.60
68	102	34	6.94GY	 3.86	 6.78
68	102	51	7.98GY	 3.88	 5.74
68	102	68	9.99GY	 3.91	 4.65
68	102	85	3.25G	 3.95	 3.66
68	102	102	3.31BG	 4.00	 2.97
68	102	119	4.25B	 4.06	 3.23
68	102	136	0.86PB	 4.12	 4.81
68	102	153	3.98PB	 4.20	 6.75
68	102	170	5.57PB	 4.29	 8.80
68	102	187	6.30PB	 4.38	10.95
68	102	204	6.75PB	 4.49	13.03
68	102	221	7.03PB	 4.60	15.04
68	102	238	7.21PB	 4.72	16.95
68	102	255	7.33PB	 4.85	18.77
68	119	0	7.10GY	 4.40	 9.42
68	119	17	7.33GY	 4.40	 8.97
68	119	34	7.81GY	 4.41	 8.28
68	119	51	8.63GY	 4.43	 7.39
68	119	68	0.05G	 4.45	 6.41
68	119	85	1.73G	 4.49	 5.39
68	119	102	6.08G	 4.53	 4.53
68	119	119	4.06BG	 4.57	 3.97
68	119	136	2.17B	 4.63	 4.10
68	119	153	8.30B	 4.70	 5.36
68	119	170	1.98PB	 4.77	 7.13
68	119	187	4.25PB	 4.85	 9.12
68	119	204	5.53PB	 4.94	11.21
68	119	221	6.17PB	 5.04	13.21
68	119	238	6.60PB	 5.15	15.04
68	119	255	6.90PB	 5.26	16.79
68	136	0	7.81GY	 4.95	10.88
68	136	17	8.02GY	 4.95	10.54
68	136	34	8.43GY	 4.96	 9.97
68	136	51	9.07GY	 4.98	 9.18
68	136	68	0.09G	 5.00	 8.26
68	136	85	1.18G	 5.03	 7.21
68	136	102	3.31G	 5.06	 6.36
68	136	119	8.09G	 5.10	 5.54
68	136	136	4.56BG	 5.15	 5.05
68	136	153	1.06B	 5.21	 5.04
68	136	170	6.61B	 5.27	 5.97
68	136	187	0.45PB	 5.34	 7.55
68	136	204	2.75PB	 5.42	 9.34
68	136	221	4.64PB	 5.51	11.21
68	136	238	5.57PB	 5.60	13.03
68	136	255	6.14PB	 5.70	14.75
68	153	0	8.29GY	 5.50	12.17
68	153	17	8.46GY	 5.51	11.86
68	153	34	8.76GY	 5.52	11.34
68	153	51	9.29GY	 5.53	10.60
68	153	68	0.08G	 5.55	 9.75
68	153	85	0.88G	 5.57	 8.76
68	153	102	2.16G	 5.60	 7.85
68	153	119	4.57G	 5.63	 7.00
68	153	136	9.46G	 5.68	 6.30
68	153	153	4.90BG	 5.73	 5.81
68	153	170	0.46B	 5.78	 5.77
68	153	187	5.32B	 5.85	 6.55
68	153	204	9.11B	 5.92	 7.99
68	153	221	1.63PB	 5.99	 9.74
68	153	238	3.50PB	 6.08	11.35
68	153	255	5.01PB	 6.17	12.94
68	170	0	8.68GY	 6.06	13.57
68	170	17	8.80GY	 6.06	13.30
68	170	34	9.05GY	 6.07	12.84
68	170	51	9.49GY	 6.08	12.18
68	170	68	0.08G	 6.10	11.34
68	170	85	0.72G	 6.12	10.42
68	170	102	1.65G	 6.14	 9.46
68	170	119	3.18G	 6.17	 8.66
68	170	136	5.76G	 6.21	 7.81
68	170	153	0.52BG	 6.26	 7.09
68	170	170	5.23BG	 6.31	 6.62
68	170	187	0.08B	 6.36	 6.58
68	170	204	4.45B	 6.42	 7.15
68	170	221	7.95B	 6.49	 8.34
68	170	238	0.66PB	 6.57	 9.81
68	170	255	2.46PB	 6.65	11.26
68	187	0	8.94GY	 6.61	14.78
68	187	17	9.05GY	 6.62	14.52
68	187	34	9.26GY	 6.62	14.08
68	187	51	9.60GY	 6.63	13.46
68	187	68	0.08G	 6.65	12.71
68	187	85	0.60G	 6.67	11.88
68	187	102	1.32G	 6.69	10.96
68	187	119	2.37G	 6.72	10.12
68	187	136	4.02G	 6.75	 9.33
68	187	153	6.90G	 6.79	 8.55
68	187	170	1.40BG	 6.83	 7.89
68	187	187	5.62BG	 6.88	 7.49
68	187	204	9.89BG	 6.94	 7.43
68	187	221	3.89B	 7.00	 7.89
68	187	238	7.12B	 7.07	 8.73
68	187	255	9.80B	 7.14	 9.92
68	204	0	9.17GY	 7.17	16.02
68	204	17	9.26GY	 7.17	15.79
68	204	34	9.42GY	 7.18	15.40
68	204	51	9.71GY	 7.19	14.82
68	204	68	0.12G	 7.20	14.16
68	204	85	0.59G	 7.21	13.43
68	204	102	1.15G	 7.23	12.48
68	204	119	1.93G	 7.26	11.53
68	204	136	3.10G	 7.29	10.72
68	204	153	4.68G	 7.32	 9.88
68	204	170	7.87G	 7.36	 9.14
68	204	187	2.11BG	 7.41	 8.51
68	204	204	5.90BG	 7.46	 8.09
68	204	221	9.81BG	 7.51	 7.96
68	204	238	3.42B	 7.57	 8.21
68	204	255	6.30B	 7.64	 8.85
68	221	0	9.32GY	 7.72	17.04
68	221	17	9.40GY	 7.72	16.84
68	221	34	9.54GY	 7.73	16.48
68	221	51	9.77GY	 7.74	15.94
68	221	68	0.11G	 7.75	15.32
68	221	85	0.53G	 7.76	14.71
68	221	102	1.06G	 7.78	13.98
68	221	119	1.69G	 7.80	13.03
68	221	136	2.48G	 7.83	11.99
68	221	153	3.72G	 7.86	11.21
68	221	170	5.39G	 7.90	10.38
68	221	187	8.74G	 7.94	 9.72
68	221	204	2.69BG	 7.98	 9.14
68	221	221	6.15BG	 8.03	 8.68
68	221	238	9.85BG	 8.09	 8.45
68	221	255	3.16B	 8.15	 8.57
68	238	0	9.47GY	 8.27	17.92
68	238	17	9.53GY	 8.27	17.74
68	238	34	9.64GY	 8.27	17.42
68	238	51	9.84GY	 8.28	16.93
68	238	68	0.11G	 8.29	16.36
68	238	85	0.46G	 8.30	15.75
68	238	102	0.90G	 8.32	15.02
68	238	119	1.45G	 8.34	14.21
68	238	136	2.12G	 8.37	13.27
68	238	153	3.04G	 8.39	12.36
68	238	170	4.23G	 8.43	11.48
68	238	187	6.26G	 8.46	10.67
68	238	204	9.44G	 8.50	10.05
68	238	221	3.10BG	 8.55	 9.41
68	238	238	6.39BG	 8.60	 8.91
68	238	255	9.89BG	 8.65	 8.64
68	255	0	9.56GY	 8.81	18.72
68	255	17	9.62GY	 8.81	18.54
68	255	34	9.72GY	 8.81	18.21
68	255	51	9.89GY	 8.82	17.74
68	255	68	0.11G	 8.83	17.20
68	255	85	0.39G	 8.84	16.59
68	255	102	0.76G	 8.86	15.88
68	255	119	1.22G	 8.87	15.08
68	255	136	1.81G	 8.90	14.25
68	255	153	2.56G	 8.92	13.43
68	255	170	3.53G	 8.95	12.61
68	255	187	4.67G	 8.98	11.68
68	255	204	7.01G	 9.02	11.08
68	255	221	9.96G	 9.06	10.88
68	255	238	3.39BG	 9.10	10.68
68	255	255	6.45BG	 9.15	10.77
85	0	0	2.58YR	 1.48	 7.88
85	0	17	0.33YR	 1.50	 7.53
85	0	34	5.65R	 1.54	 7.46
85	0	51	0.20R	 1.61	 7.92
85	0	68	4.34RP	 1.69	 8.93
85	0	85	0.07RP	 1.80	10.31
85	0	102	6.11P	 1.94	12.01
85	0	119	3.50P	 2.08	13.69
85	0	136	1.86P	 2.25	15.33
85	0	153	0.76P	 2.42	16.94
85	0	170	9.97PB	 2.60	18.65
85	0	187	9.37PB	 2.78	20.39
85	0	204	8.94PB	 2.98	22.19
85	0	221	8.58PB	 3.17	23.74
85	0	238	8.32PB	 3.37	25.37
85	0	255	8.13PB	 3.57	27.16
85	17	0	3.27YR	 1.69	 7.07
85	17	17	1.30YR	 1.71	 6.62
85	17	34	6.71R	 1.74	 6.42
85	17	51	0.57R	 1.80	 6.83
85	17	68	4.09RP	 1.88	 7.80
85	17	85	9.78P	 1.98	 9.28
85	17	102	5.90P	 2.09	10.87
85	17	119	3.34P	 2.23	12.49
85	17	136	1.76P	 2.38	14.21
85	17	153	0.71P	 2.54	15.94
85	17	187	9.36PB	 2.89	19.72
85	17	204	8.92PB	 3.07	21.53
85	17	221	8.58PB	 3.26	23.13
85	17	238	8.32PB	 3.45	24.82
85	17	255	8.14PB	 3.64	26.61
85	34	0	5.09YR	 2.01	 6.37
85	34	17	3.47YR	 2.03	 5.73
85	34	34	9.47R	 2.06	 5.05
85	34	51	2.13R	 2.10	 5.06
85	34	68	4.28RP	 2.17	 5.96
85	34	85	9.57P	 2.25	 7.19
85	34	102	5.53P	 2.35	 8.81
85	34	119	3.01P	 2.47	10.63
85	34	136	1.53P	 2.60	12.60
85	34	153	0.57P	 2.75	14.52
85	34	170	9.86PB	 2.90	16.45
85	34	187	9.30PB	 3.06	18.47
85	34	204	8.89PB	 3.23	20.28
85	34	221	8.56PB	 3.41	22.07
85	34	238	8.32PB	 3.59	23.89
85	34	255	8.15PB	 3.77	25.73
85	51	0	0.11Y	 2.44	 5.42
85	51	17	8.85YR	 2.45	 4.71
85	51	34	6.05YR	 2.47	 3.70
85	51	51	9.31R	 2.51	 2.82
85	51	68	6.62RP	 2.56	 3.15
85	51	85	9.35P	 2.63	 4.44
85	51	102	4.84P	 2.72	 6.35
85	51	119	2.37P	 2.81	 8.32
85	51	136	1.06P	 2.92	10.37
85	51	153	0.27P	 3.05	12.69
85	51	170	9.64PB	 3.18	14.60
85	51	187	9.16PB	 3.33	16.56
85	51	204	8.79PB	 3.48	18.61
85	51	221	8.53PB	 3.64	20.53
85	51	238	8.31PB	 3.80	22.64
85	51	255	8.16PB	 3.97	24.67
85	68	0	6.27Y	 2.92	 5.61
85	68	17	5.77Y	 2.93	 4.90
85	68	34	4.54Y	 2.95	 3.75
85	68	51	1.79Y	 2.98	 2.38
85	68	68	2.28YR	 3.02	 1.17
85	68	85	9.58P	 3.08	 1.72
85	68	102	3.15P	 3.14	 3.57
85	68	119	1.02P	 3.22	 5.79
85	68	136	0.07P	 3.32	 8.04
85	68	153	9.55PB	 3.42	10.24
85	68	170	9.17PB	 3.54	12.54
85	68	187	8.87PB	 3.66	14.71
85	68	204	8.61PB	 3.79	16.88
85	68	221	8.42PB	 3.93	18.94
85	68	238	8.26PB	 4.08	20.82
85	68	255	8.12PB	 4.24	22.75
85	85	0	1.28GY	 3.43	 6.28
85	85	17	1.36GY	 3.44	 5.64
85	85	34	1.50GY	 3.46	 4.62
85	85	51	1.75GY	 3.48	 3.34
85	85	68	2.47GY	 3.51	 2.01
85	85	85	7.15GY	 3.56	 0.54
85	85	102	6.24PB	 3.61	 1.48
85	85	119	7.65PB	 3.68	 3.63
85	85	136	8.06PB	 3.76	 5.92
85	85	153	8.20PB	 3.84	 8.25
85	85	170	8.30PB	 3.94	10.60
85	85	187	8.31PB	 4.05	12.89
85	85	204	8.24PB	 4.16	14.96
85	85	221	8.14PB	 4.29	16.91
85	85	238	8.07PB	 4.42	18.74
85	85	255	8.01PB	 4.56	20.54
85	102	0	4.32GY	 3.96	 7.55
85	102	17	4.56GY	 3.96	 7.01
85	102	34	5.05GY	 3.98	 6.12
85	102	51	5.65GY	 4.00	 5.01
