Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
5.0BG	3	14	0	92	99	 Out
5.0BG	3	16	0	94	102	 Out
5.0BG	3	18	0	95	104	 Out
7.5BG	3	2	56	75	81	 In
7.5BG	3	4	21	79	87	 In
7.5BG	3	6	0	82	92	 Out
7.5BG	3	8	0	85	97	 Out
7.5BG	3	10	0	88	102	 Out
7.5BG	3	12	0	90	106	 Out
7.5BG	3	14	0	92	110	 Out
7.5BG	3	16	0	94	114	 Out
10.0BG	3	2	55	75	83	 In
10.0BG	3	4	21	79	91	 In
10.0BG	3	6	0	82	99	 Out
10.0BG	3	8	0	84	106	 Out
10.0BG	3	10	0	87	114	 Out
10.0BG	3	12	0	90	120	 Out
10.0BG	3	14	0	92	127	 Out
2.5B	3	2	55	75	85	 In
2.5B	3	4	22	78	95	 In
2.5B	3	6	0	81	105	 Out
2.5B	3	8	0	84	114	 Out
2.5B	3	10	0	86	124	 Out
2.5B	3	12	0	89	133	 Out
5.0B	3	2	56	74	87	 In
5.0B	3	4	26	77	99	 In
5.0B	3	6	0	80	110	 Out
5.0B	3	8	0	82	122	 Out
5.0B	3	10	0	84	134	 Out
5.0B	3	12	0	86	145	 Out
7.5B	3	2	57	74	88	 In
7.5B	3	4	34	76	102	 In
7.5B	3	6	0	78	114	 Out
7.5B	3	8	0	80	126	 Out
7.5B	3	10	0	82	139	 Out
7.5B	3	12	0	84	152	 Out
10.0B	3	2	60	73	90	 In
10.0B	3	4	41	75	103	 In
10.0B	3	6	0	76	116	 Out
10.0B	3	8	0	78	129	 Out
10.0B	3	10	0	79	142	 Out
10.0B	3	12	0	81	156	 Out
10.0B	3	14	0	82	169	 Out
2.5PB	3	2	63	72	91	 In
2.5PB	3	4	50	73	105	 In
2.5PB	3	6	29	74	118	 In
2.5PB	3	8	0	75	131	 Out
2.5PB	3	10	0	75	144	 Out
2.5PB	3	12	0	76	158	 Out
2.5PB	3	14	0	77	172	 Out
5.0PB	3	2	66	71	91	 In
5.0PB	3	4	57	72	105	 In
5.0PB	3	6	45	72	119	 In
5.0PB	3	8	26	72	132	 In
5.0PB	3	10	0	72	145	 Out
5.0PB	3	12	0	71	159	 Out
5.0PB	3	14	0	71	173	 Out
5.0PB	3	16	0	70	187	 Out
5.0PB	3	18	0	69	202	 Out
7.5PB	3	2	71	70	92	 In
7.5PB	3	4	67	69	105	 In
7.5PB	3	6	64	68	119	 In
7.5PB	3	8	60	66	131	 In
7.5PB	3	10	55	64	144	 In
7.5PB	3	12	52	61	156	 In
7.5PB	3	14	51	57	168	 In
7.5PB	3	16	51	52	180	 In
7.5PB	3	18	52	47	191	 In
7.5PB	3	20	53	40	200	 In
7.5PB	3	22	56	30	211	 In
7.5PB	3	24	59	13	221	 In
7.5PB	3	26	61	0	230	 Out
7.5PB	3	28	64	0	239	 Out
7.5PB	3	30	68	0	250	 Out
7.5PB	3	32	72	0	255	 Out
7.5PB	3	34	75	0	255	 Out
10.0PB	3	2	75	69	91	 In
10.0PB	3	4	75	67	104	 In
10.0PB	3	6	76	64	116	 In
10.0PB	3	8	78	61	127	 In
10.0PB	3	10	79	57	139	 In
10.0PB	3	12	81	53	149	 In
10.0PB	3	14	84	47	160	 In
10.0PB	3	16	88	39	171	 In
10.0PB	3	18	91	30	180	 In
10.0PB	3	20	95	16	189	 In
10.0PB	3	22	99	0	199	 Out
10.0PB	3	24	103	0	208	 Out
10.0PB	3	26	107	0	218	 Out
10.0PB	3	28	112	0	227	 Out
10.0PB	3	30	117	0	237	 Out
10.0PB	3	32	123	0	248	 Out
10.0PB	3	34	127	0	255	 Out
2.5P	3	2	78	68	90	 In
2.5P	3	4	82	65	102	 In
2.5P	3	6	85	61	113	 In
2.5P	3	8	89	57	123	 In
2.5P	3	10	94	51	133	 In
2.5P	3	12	98	45	142	 In
2.5P	3	14	103	37	152	 In
2.5P	3	16	108	25	161	 In
2.5P	3	18	113	4	170	 In
2.5P	3	20	117	0	178	 Out
2.5P	3	22	123	0	188	 Out
2.5P	3	24	128	0	197	 Out
2.5P	3	26	133	0	206	 Out
2.5P	3	28	138	0	215	 Out
2.5P	3	30	144	0	225	 Out
2.5P	3	32	150	0	235	 Out
2.5P	3	34	156	0	244	 Out
5.0P	3	2	81	67	89	 In
5.0P	3	4	87	63	99	 In
5.0P	3	6	92	59	108	 In
5.0P	3	8	97	54	118	 In
5.0P	3	10	103	47	127	 In
5.0P	3	12	109	39	136	 In
5.0P	3	14	115	28	145	 In
5.0P	3	16	120	7	153	 In
5.0P	3	18	126	0	161	 Out
5.0P	3	20	131	0	168	 Out
5.0P	3	22	137	0	177	 Out
5.0P	3	24	143	0	186	 Out
5.0P	3	26	149	0	195	 Out
5.0P	3	28	156	0	204	 Out
5.0P	3	30	162	0	213	 Out
5.0P	3	32	170	0	223	 Out
7.5P	3	2	84	66	87	 In
7.5P	3	4	91	62	96	 In
7.5P	3	6	98	57	104	 In
7.5P	3	8	105	50	113	 In
7.5P	3	10	111	43	121	 In
7.5P	3	12	118	32	129	 In
7.5P	3	14	125	14	137	 In
7.5P	3	16	131	0	144	 Out
7.5P	3	18	137	0	152	 Out
7.5P	3	20	143	0	158	 Out
7.5P	3	22	149	0	166	 Out
7.5P	3	24	156	0	174	 Out
7.5P	3	26	163	0	182	 Out
7.5P	3	28	171	0	191	 Out
7.5P	3	30	178	0	199	 Out
10.0P	3	2	86	66	85	 In
10.0P	3	4	95	61	92	 In
10.0P	3	6	102	55	99	 In
10.0P	3	8	111	47	107	 In
10.0P	3	10	118	38	114	 In
10.0P	3	12	126	23	121	 In
10.0P	3	14	133	0	128	 Out
10.0P	3	16	140	0	134	 Out
10.0P	3	18	147	0	142	 Out
10.0P	3	20	154	0	148	 Out
10.0P	3	22	161	0	154	 Out
10.0P	3	24	168	0	162	 Out
10.0P	3	26	175	0	168	 Out
2.5RP	3	2	88	65	82	 In
2.5RP	3	4	98	59	87	 In
2.5RP	3	6	108	53	92	 In
2.5RP	3	8	117	44	97	 In
2.5RP	3	10	126	32	103	 In
2.5RP	3	12	134	12	108	 In
2.5RP	3	14	143	0	113	 Out
2.5RP	3	16	151	0	119	 Out
2.5RP	3	18	159	0	124	 Out
2.5RP	3	20	166	0	129	 Out
2.5RP	3	22	175	0	135	 Out
5.0RP	3	2	89	65	78	 In
5.0RP	3	4	101	59	81	 In
5.0RP	3	6	112	51	84	 In
5.0RP	3	8	122	42	88	 In
5.0RP	3	10	131	28	92	 In
5.0RP	3	12	140	1	95	 In
5.0RP	3	14	149	0	100	 Out
5.0RP	3	16	158	0	104	 Out
5.0RP	3	18	166	0	108	 Out
5.0RP	3	20	174	0	112	 Out
7.5RP	3	2	90	65	76	 In
7.5RP	3	4	103	58	77	 In
7.5RP	3	6	114	50	78	 In
7.5RP	3	8	125	40	79	 In
7.5RP	3	10	135	25	81	 In
7.5RP	3	12	145	0	83	 Out
7.5RP	3	14	155	0	85	 Out
7.5RP	3	16	164	0	88	 Out
7.5RP	3	18	173	0	91	 Out
10.0RP	4	2	116	90	98	 In
10.0RP	4	4	130	83	96	 In
10.0RP	4	6	143	76	94	 In
10.0RP	4	8	155	68	92	 In
10.0RP	4	10	165	58	91	 In
10.0RP	4	12	177	43	90	 In
10.0RP	4	14	187	20	89	 In
10.0RP	4	16	197	0	89	 Out
10.0RP	4	18	208	0	89	 Out
10.0RP	4	20	218	0	89	 Out
2.5R	4	2	116	90	96	 In
2.5R	4	4	131	83	92	 In
2.5R	4	6	144	76	88	 In
2.5R	4	8	156	68	84	 In
2.5R	4	10	167	57	81	 In
2.5R	4	12	178	44	78	 In
2.5R	4	14	189	18	75	 In
2.5R	4	16	199	0	72	 Out
2.5R	4	18	210	0	70	 Out
5.0R	4	2	117	90	94	 In
5.0R	4	4	132	83	87	 In
5.0R	4	6	145	76	80	 In
5.0R	4	8	157	68	74	 In
5.0R	4	10	168	58	67	 In
5.0R	4	12	178	46	61	 In
5.0R	4	14	189	24	55	 In
5.0R	4	16	199	0	49	 Out
5.0R	4	18	209	0	44	 Out
7.5R	4	2	117	90	92	 In
7.5R	4	4	132	83	83	 In
7.5R	4	6	145	77	74	 In
7.5R	4	8	157	69	65	 In
7.5R	4	10	168	60	56	 In
7.5R	4	12	178	49	46	 In
7.5R	4	14	188	32	36	 In
7.5R	4	16	197	0	26	 Out
7.5R	4	18	206	0	14	 Out
7.5R	4	20	216	0	0	 Out
10.0R	4	2	117	90	90	 In
10.0R	4	4	132	84	78	 In
10.0R	4	6	144	78	66	 In
10.0R	4	8	156	71	54	 In
10.0R	4	10	166	63	40	 In
10.0R	4	12	174	55	22	 In
10.0R	4	14	183	44	0	 Out
10.0R	4	16	189	32	0	 Out
2.5YR	4	2	117	90	87	 In
2.5YR	4	4	131	85	73	 In
2.5YR	4	6	142	80	58	 In
2.5YR	4	8	152	75	42	 In
2.5YR	4	10	160	69	20	 In
2.5YR	4	12	166	65	0	 Out
5.0YR	4	2	116	91	84	 In
5.0YR	4	4	129	87	67	 In
5.0YR	4	6	139	83	50	 In
5.0YR	4	8	147	79	31	 In
5.0YR	4	10	153	75	0	 Out
5.0YR	4	12	158	72	0	 Out
7.5YR	4	2	115	92	82	 In
7.5YR	4	4	127	88	62	 In
7.5YR	4	6	135	85	43	 In
7.5YR	4	8	141	83	19	 In
7.5YR	4	10	146	80	0	 Out
10.0YR	4	2	112	93	79	 In
10.0YR	4	4	123	90	58	 In
10.0YR	4	6	130	88	36	 In
10.0YR	4	8	135	86	3	 In
10.0YR	4	10	138	85	0	 Out
2.5Y	4	2	110	94	78	 In
2.5Y	4	4	118	92	55	 In
2.5Y	4	6	124	91	30	 In
2.5Y	4	8	128	90	0	 Out
2.5Y	4	10	131	89	0	 Out
5.0Y	4	2	107	95	77	 In
5.0Y	4	4	113	94	52	 In
5.0Y	4	6	118	94	25	 In
5.0Y	4	8	121	93	0	 Out
7.5Y	4	2	104	96	77	 In
7.5Y	4	4	108	96	51	 In
7.5Y	4	6	111	96	23	 In
7.5Y	4	8	113	96	0	 Out
10.0Y	4	2	101	97	78	 In
10.0Y	4	4	103	98	52	 In
10.0Y	4	6	105	98	22	 In
10.0Y	4	8	106	99	0	 Out
2.5GY	4	2	98	98	80	 In
2.5GY	4	4	97	99	55	 In
2.5GY	4	6	96	101	28	 In
2.5GY	4	8	95	102	0	 Out
5.0GY	4	2	95	98	82	 In
5.0GY	4	4	91	101	60	 In
5.0GY	4	6	87	103	36	 In
5.0GY	4	8	83	105	0	 Out
5.0GY	4	10	79	106	0	 Out
7.5GY	4	2	91	99	86	 In
7.5GY	4	4	82	103	68	 In
7.5GY	4	6	73	105	49	 In
7.5GY	4	8	62	108	25	 In
7.5GY	4	10	50	110	0	 Out
7.5GY	4	12	33	112	0	 Out
10.0GY	4	2	88	99	89	 In
10.0GY	4	4	76	103	75	 In
10.0GY	4	6	61	107	61	 In
10.0GY	4	8	42	110	45	 In
10.0GY	4	10	0	113	27	 Out
10.0GY	4	12	0	115	0	 Out
10.0GY	4	14	0	117	0	 Out
10.0GY	4	16	0	119	0	 Out
2.5G	4	2	85	100	93	 In
2.5G	4	4	68	104	84	 In
2.5G	4	6	43	108	75	 In
2.5G	4	8	0	112	68	 Out
2.5G	4	10	0	115	60	 Out
2.5G	4	12	0	117	53	 Out
2.5G	4	14	0	119	47	 Out
2.5G	4	16	0	121	42	 Out
2.5G	4	18	0	123	37	 Out
2.5G	4	20	0	124	34	 Out
2.5G	4	22	0	125	30	 Out
2.5G	4	24	0	127	27	 Out
2.5G	4	26	0	128	24	 Out
5.0G	4	2	84	100	95	 In
5.0G	4	4	63	105	89	 In
5.0G	4	6	33	109	84	 In
5.0G	4	8	0	112	79	 Out
5.0G	4	10	0	115	76	 Out
5.0G	4	12	0	118	73	 Out
5.0G	4	14	0	120	70	 Out
5.0G	4	16	0	122	69	 Out
5.0G	4	18	0	123	67	 Out
5.0G	4	20	0	125	66	 Out
5.0G	4	22	0	126	65	 Out
5.0G	4	24	0	127	65	 Out
5.0G	4	26	0	128	64	 Out
7.5G	4	2	82	100	97	 In
7.5G	4	4	60	105	93	 In
7.5G	4	6	23	109	90	 In
7.5G	4	8	0	112	87	 Out
7.5G	4	10	0	115	85	 Out
7.5G	4	12	0	118	84	 Out
7.5G	4	14	0	120	83	 Out
7.5G	4	16	0	122	82	 Out
7.5G	4	18	0	124	81	 Out
7.5G	4	20	0	125	81	 Out
7.5G	4	22	0	126	80	 Out
7.5G	4	24	0	127	80	 Out
7.5G	4	26	0	128	80	 Out
10.0G	4	2	81	100	99	 In
10.0G	4	4	57	105	97	 In
10.0G	4	6	10	109	96	 In
10.0G	4	8	0	112	95	 Out
10.0G	4	10	0	115	94	 Out
10.0G	4	12	0	118	94	 Out
10.0G	4	14	0	120	94	 Out
10.0G	4	16	0	122	94	 Out
10.0G	4	18	0	124	94	 Out
10.0G	4	20	0	125	94	 Out
10.0G	4	22	0	126	95	 Out
10.0G	4	24	0	127	95	 Out
10.0G	4	26	0	128	95	 Out
2.5BG	4	2	80	100	101	 In
2.5BG	4	4	54	105	102	 In
2.5BG	4	6	0	109	102	 Out
2.5BG	4	8	0	112	103	 Out
2.5BG	4	10	0	115	105	 Out
2.5BG	4	12	0	118	106	 Out
2.5BG	4	14	0	120	108	 Out
2.5BG	4	16	0	122	109	 Out
2.5BG	4	18	0	124	110	 Out
2.5BG	4	20	0	125	111	 Out
2.5BG	4	22	0	126	112	 Out
2.5BG	4	24	0	127	113	 Out
5.0BG	4	2	80	100	104	 In
5.0BG	4	4	52	105	107	 In
5.0BG	4	6	0	109	110	 Out
5.0BG	4	8	0	112	114	 Out
5.0BG	4	10	0	115	117	 Out
5.0BG	4	12	0	118	121	 Out
5.0BG	4	14	0	120	124	 Out
5.0BG	4	16	0	122	127	 Out
5.0BG	4	18	0	124	129	 Out
5.0BG	4	20	0	125	132	 Out
7.5BG	4	2	79	100	106	 In
7.5BG	4	4	51	104	111	 In
7.5BG	4	6	0	108	117	 Out
7.5BG	4	8	0	112	123	 Out
7.5BG	4	10	0	115	128	 Out
7.5BG	4	12	0	117	133	 Out
7.5BG	4	14	0	120	138	 Out
7.5BG	4	16	0	122	142	 Out
7.5BG	4	18	0	124	145	 Out
10.0BG	4	2	79	100	108	 In
10.0BG	4	4	51	104	116	 In
10.0BG	4	6	0	107	124	 Out
10.0BG	4	8	0	111	132	 Out
10.0BG	4	10	0	114	140	 Out
10.0BG	4	12	0	117	147	 Out
10.0BG	4	14	0	119	154	 Out
10.0BG	4	16	0	121	159	 Out
2.5B	4	2	80	99	110	 In
2.5B	4	4	53	103	120	 In
2.5B	4	6	0	106	130	 Out
2.5B	4	8	0	109	140	 Out
2.5B	4	10	0	112	151	 Out
2.5B	4	12	0	115	159	 Out
2.5B	4	14	0	118	169	 Out
2.5B	4	16	0	120	175	 Out
5.0B	4	2	81	99	112	 In
5.0B	4	4	57	102	123	 In
5.0B	4	6	7	105	135	 In
5.0B	4	8	0	107	148	 Out
5.0B	4	10	0	110	159	 Out
5.0B	4	12	0	112	171	 Out
5.0B	4	14	0	115	183	 Out
7.5B	4	2	83	98	113	 In
7.5B	4	4	63	101	126	 In
7.5B	4	6	33	103	138	 In
7.5B	4	8	0	105	152	 Out
7.5B	4	10	0	107	164	 Out
7.5B	4	12	0	109	177	 Out
7.5B	4	14	0	111	190	 Out
10.0B	4	2	86	97	114	 In
10.0B	4	4	69	99	127	 In
10.0B	4	6	47	101	140	 In
10.0B	4	8	0	103	154	 Out
10.0B	4	10	0	104	167	 Out
10.0B	4	12	0	106	180	 Out
10.0B	4	14	0	108	194	 Out
10.0B	4	16	0	109	208	 Out
2.5PB	4	2	89	97	115	 In
2.5PB	4	4	77	98	129	 In
2.5PB	4	6	62	99	142	 In
2.5PB	4	8	35	100	156	 In
2.5PB	4	10	0	100	169	 Out
2.5PB	4	12	0	101	183	 Out
2.5PB	4	14	0	102	197	 Out
2.5PB	4	16	0	103	212	 Out
2.5PB	4	18	0	103	226	 Out
5.0PB	4	2	92	96	116	 In
5.0PB	4	4	84	96	129	 In
5.0PB	4	6	74	96	143	 In
5.0PB	4	8	59	97	157	 In
5.0PB	4	10	38	97	170	 In
5.0PB	4	12	0	97	183	 Out
5.0PB	4	14	0	97	198	 Out
5.0PB	4	16	0	96	212	 Out
5.0PB	4	18	0	96	228	 Out
5.0PB	4	20	0	95	245	 Out
7.5PB	4	2	96	94	116	 In
7.5PB	4	4	93	94	129	 In
7.5PB	4	6	89	93	142	 In
7.5PB	4	8	84	91	156	 In
7.5PB	4	10	79	90	169	 In
7.5PB	4	12	74	88	182	 In
7.5PB	4	14	70	86	195	 In
7.5PB	4	16	66	82	208	 In
7.5PB	4	18	64	79	221	 In
7.5PB	4	20	62	73	235	 In
7.5PB	4	22	62	68	245	 In
7.5PB	4	24	63	62	255	 Out
7.5PB	4	26	64	54	255	 Out
10.0PB	4	2	99	93	116	 In
10.0PB	4	4	100	91	128	 In
10.0PB	4	6	100	89	141	 In
10.0PB	4	8	101	87	153	 In
10.0PB	4	10	101	84	165	 In
10.0PB	4	12	102	80	177	 In
10.0PB	4	14	104	77	188	 In
10.0PB	4	16	107	72	199	 In
10.0PB	4	18	109	66	210	 In
10.0PB	4	20	113	58	222	 In
10.0PB	4	22	116	51	230	 In
10.0PB	4	24	119	41	240	 In
10.0PB	4	26	124	22	251	 In
10.0PB	4	28	127	0	255	 Out
10.0PB	4	30	131	0	255	 Out
2.5P	4	2	102	93	115	 In
2.5P	4	4	106	90	127	 In
2.5P	4	6	109	87	137	 In
2.5P	4	8	112	83	148	 In
2.5P	4	10	116	79	158	 In
2.5P	4	12	121	74	169	 In
2.5P	4	14	125	69	179	 In
2.5P	4	16	130	62	189	 In
2.5P	4	18	135	53	199	 In
2.5P	4	20	140	42	209	 In
2.5P	4	22	144	29	217	 In
2.5P	4	24	149	0	226	 Out
2.5P	4	26	154	0	237	 Out
2.5P	4	28	159	0	246	 Out
2.5P	4	30	164	0	255	 Out
2.5P	4	32	171	0	255	 Out
5.0P	4	2	105	92	113	 In
5.0P	4	4	110	88	124	 In
5.0P	4	6	115	85	133	 In
5.0P	4	8	121	81	143	 In
5.0P	4	10	126	75	152	 In
5.0P	4	12	132	70	162	 In
5.0P	4	14	138	63	171	 In
5.0P	4	16	144	53	181	 In
5.0P	4	18	150	42	189	 In
5.0P	4	20	156	25	198	 In
5.0P	4	22	161	0	206	 Out
5.0P	4	24	167	0	214	 Out
5.0P	4	26	173	0	223	 Out
5.0P	4	28	179	0	233	 Out
5.0P	4	30	185	0	242	 Out
5.0P	4	32	193	0	253	 Out
7.5P	4	2	108	91	111	 In
7.5P	4	4	115	87	120	 In
7.5P	4	6	122	82	128	 In
7.5P	4	8	129	77	137	 In
7.5P	4	10	136	71	145	 In
7.5P	4	12	143	64	153	 In
7.5P	4	14	150	55	161	 In
7.5P	4	16	157	43	169	 In
7.5P	4	18	164	25	178	 In
7.5P	4	20	171	0	186	 Out
7.5P	4	22	177	0	193	 Out
7.5P	4	24	183	0	200	 Out
7.5P	4	26	191	0	209	 Out
7.5P	4	28	197	0	217	 Out
7.5P	4	30	205	0	226	 Out
7.5P	4	32	213	0	236	 Out
10.0P	4	2	110	91	109	 In
10.0P	4	4	119	86	116	 In
10.0P	4	6	128	80	123	 In
10.0P	4	8	136	74	130	 In
10.0P	4	10	144	68	136	 In
10.0P	4	12	152	59	143	 In
10.0P	4	14	160	48	150	 In
10.0P	4	16	167	34	156	 In
10.0P	4	18	176	0	164	 Out
10.0P	4	20	185	0	172	 Out
10.0P	4	22	191	0	178	 Out
10.0P	4	24	198	0	184	 Out
10.0P	4	26	206	0	192	 Out
10.0P	4	28	213	0	198	 Out
10.0P	4	30	223	0	208	 Out
2.5RP	4	2	112	90	106	 In
2.5RP	4	4	123	85	111	 In
2.5RP	4	6	133	79	116	 In
2.5RP	4	8	143	72	121	 In
2.5RP	4	10	152	64	126	 In
2.5RP	4	12	161	54	131	 In
2.5RP	4	14	169	40	136	 In
2.5RP	4	16	178	18	141	 In
2.5RP	4	18	187	0	147	 Out
2.5RP	4	20	197	0	153	 Out
2.5RP	4	22	204	0	157	 Out
2.5RP	4	24	212	0	163	 Out
2.5RP	4	26	220	0	167	 Out
5.0RP	4	2	114	90	103	 In
5.0RP	4	4	126	84	105	 In
5.0RP	4	6	138	77	108	 In
5.0RP	4	8	149	69	110	 In
5.0RP	4	10	158	61	113	 In
5.0RP	4	12	169	49	116	 In
5.0RP	4	14	178	32	119	 In
5.0RP	4	16	187	0	122	 Out
5.0RP	4	18	197	0	126	 Out
5.0RP	4	20	207	0	130	 Out
5.0RP	4	22	215	0	133	 Out
7.5RP	4	2	115	90	101	 In
7.5RP	4	4	128	84	100	 In
7.5RP	4	6	141	77	100	 In
7.5RP	4	8	153	68	101	 In
7.5RP	4	10	162	59	102	 In
7.5RP	4	12	173	46	103	 In
7.5RP	4	14	183	26	104	 In
7.5RP	4	16	193	0	106	 Out
7.5RP	4	18	203	0	108	 Out
7.5RP	4	20	214	0	110	 Out
10.0RP	5	2	140	116	125	 In
10.0RP	5	4	155	109	122	 In
10.0RP	5	6	170	103	119	 In
10.0RP	5	8	183	95	117	 In
10.0RP	5	10	195	86	115	 In
10.0RP	5	12	207	74	113	 In
10.0RP	5	14	217	62	112	 In
10.0RP	5	16	229	42	110	 In
10.0RP	5	18	239	0	109	 Out
10.0RP	5	20	250	0	108	 Out
2.5R	5	2	141	116	123	 In
2.5R	5	4	156	109	118	 In
2.5R	5	6	171	102	113	 In
2.5R	5	8	184	95	108	 In
2.5R	5	10	197	86	104	 In
2.5R	5	12	209	74	100	 In
2.5R	5	14	219	62	97	 In
2.5R	5	16	231	42	93	 In
2.5R	5	18	242	0	90	 Out
2.5R	5	20	253	0	88	 Out
5.0R	5	2	141	116	121	 In
5.0R	5	4	158	109	114	 In
5.0R	5	6	172	103	106	 In
5.0R	5	8	185	95	99	 In
5.0R	5	10	198	86	91	 In
5.0R	5	12	210	75	84	 In
5.0R	5	14	220	63	78	 In
5.0R	5	16	232	45	71	 In
5.0R	5	18	242	2	65	 In
5.0R	5	20	252	0	60	 Out
7.5R	5	2	142	116	119	 In
7.5R	5	4	158	109	109	 In
7.5R	5	6	172	103	99	 In
7.5R	5	8	186	96	89	 In
7.5R	5	10	198	87	79	 In
7.5R	5	12	210	77	68	 In
7.5R	5	14	220	66	58	 In
7.5R	5	16	230	51	46	 In
7.5R	5	18	239	29	34	 In
7.5R	5	20	248	0	21	 Out
10.0R	5	2	142	116	116	 In
10.0R	5	4	158	110	104	 In
10.0R	5	6	172	104	90	 In
10.0R	5	8	185	97	77	 In
10.0R	5	10	196	90	61	 In
10.0R	5	12	206	82	44	 In
10.0R	5	14	215	75	24	 In
10.0R	5	16	222	66	0	 Out
10.0R	5	18	229	56	0	 Out
2.5YR	5	2	142	116	113	 In
2.5YR	5	4	157	111	99	 In
2.5YR	5	6	170	106	83	 In
2.5YR	5	8	182	100	65	 In
2.5YR	5	10	191	95	46	 In
2.5YR	5	12	198	90	21	 In
2.5YR	5	14	204	86	0	 Out
2.5YR	5	16	208	82	0	 Out
5.0YR	5	2	141	116	111	 In
5.0YR	5	4	155	112	93	 In
5.0YR	5	6	167	108	74	 In
5.0YR	5	8	177	104	54	 In
5.0YR	5	10	184	100	31	 In
5.0YR	5	12	190	97	0	 Out
5.0YR	5	14	194	94	0	 Out
7.5YR	5	2	140	117	109	 In
7.5YR	5	4	153	114	89	 In
7.5YR	5	6	163	110	67	 In
7.5YR	5	8	171	107	44	 In
7.5YR	5	10	177	105	10	 In
7.5YR	5	12	181	103	0	 Out
7.5YR	5	14	184	102	0	 Out
10.0YR	5	2	138	118	106	 In
10.0YR	5	4	149	116	84	 In
10.0YR	5	6	158	113	59	 In
10.0YR	5	8	164	111	32	 In
10.0YR	5	10	169	110	0	 Out
10.0YR	5	12	172	109	0	 Out
2.5Y	5	2	136	119	104	 In
2.5Y	5	4	145	118	80	 In
2.5Y	5	6	152	116	53	 In
2.5Y	5	8	157	115	21	 In
2.5Y	5	10	160	114	0	 Out
2.5Y	5	12	162	113	0	 Out
5.0Y	5	2	133	120	103	 In
5.0Y	5	4	140	120	77	 In
5.0Y	5	6	145	119	48	 In
5.0Y	5	8	149	118	10	 In
5.0Y	5	10	151	118	0	 Out
5.0Y	5	12	153	118	0	 Out
7.5Y	5	2	130	121	102	 In
7.5Y	5	4	135	121	76	 In
7.5Y	5	6	138	122	46	 In
7.5Y	5	8	141	122	0	 Out
7.5Y	5	10	142	121	0	 Out
7.5Y	5	12	144	121	0	 Out
10.0Y	5	2	128	122	103	 In
10.0Y	5	4	130	123	77	 In
10.0Y	5	6	131	124	47	 In
10.0Y	5	8	133	124	0	 Out
10.0Y	5	10	133	125	0	 Out
10.0Y	5	12	134	125	0	 Out
2.5GY	5	2	124	123	105	 In
2.5GY	5	4	123	125	80	 In
2.5GY	5	6	123	126	52	 In
2.5GY	5	8	122	127	11	 In
2.5GY	5	10	120	128	0	 Out
2.5GY	5	12	120	129	0	 Out
5.0GY	5	2	121	124	107	 In
5.0GY	5	4	117	126	85	 In
5.0GY	5	6	113	129	61	 In
5.0GY	5	8	109	131	30	 In
5.0GY	5	10	105	132	0	 Out
5.0GY	5	12	102	133	0	 Out
7.5GY	5	2	117	125	111	 In
7.5GY	5	4	109	128	93	 In
7.5GY	5	6	99	131	74	 In
7.5GY	5	8	90	134	52	 In
7.5GY	5	10	79	136	20	 In
7.5GY	5	12	68	138	0	 Out
7.5GY	5	14	56	140	0	 Out
10.0GY	5	2	113	125	114	 In
10.0GY	5	4	101	129	100	 In
10.0GY	5	6	88	133	86	 In
10.0GY	5	8	72	136	70	 In
10.0GY	5	10	51	139	53	 In
10.0GY	5	12	4	142	30	 In
10.0GY	5	14	0	144	0	 Out
10.0GY	5	16	0	146	0	 Out
10.0GY	5	18	0	148	0	 Out
2.5G	5	2	110	126	118	 In
2.5G	5	4	94	130	109	 In
2.5G	5	6	74	134	100	 In
2.5G	5	8	46	138	91	 In
2.5G	5	10	0	141	83	 Out
2.5G	5	12	0	144	74	 Out
2.5G	5	14	0	147	67	 Out
2.5G	5	16	0	149	59	 Out
2.5G	5	18	0	152	53	 Out
2.5G	5	20	0	153	47	 Out
2.5G	5	22	0	155	42	 Out
2.5G	5	24	0	156	37	 Out
2.5G	5	26	0	158	33	 Out
2.5G	5	28	0	159	29	 Out
5.0G	5	2	108	126	121	 In
5.0G	5	4	89	130	114	 In
5.0G	5	6	66	135	109	 In
5.0G	5	8	19	138	103	 In
5.0G	5	10	0	142	99	 Out
5.0G	5	12	0	145	95	 Out
5.0G	5	14	0	148	92	 Out
5.0G	5	16	0	150	90	 Out
5.0G	5	18	0	152	88	 Out
5.0G	5	20	0	154	86	 Out
5.0G	5	22	0	155	85	 Out
5.0G	5	24	0	157	83	 Out
5.0G	5	26	0	158	82	 Out
5.0G	5	28	0	160	82	 Out
7.5G	5	2	107	126	123	 In
7.5G	5	4	86	131	118	 In
7.5G	5	6	60	135	115	 In
