Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
7.5YR	2	2	63	45	37	 In
7.5YR	2	4	73	42	20	 In
7.5YR	2	6	80	39	0	 Out
10.0YR	2	2	62	46	36	 In
10.0YR	2	4	70	44	15	 In
2.5Y	2	2	59	47	34	 In
2.5Y	2	4	66	46	10	 In
5.0Y	2	2	57	48	34	 In
5.0Y	2	4	63	47	6	 In
7.5Y	2	2	55	49	35	 In
7.5Y	2	4	59	49	5	 In
10.0Y	2	2	52	50	36	 In
10.0Y	2	4	54	50	8	 In
2.5GY	2	2	50	50	38	 In
2.5GY	2	4	48	52	15	 In
5.0GY	2	2	48	51	40	 In
5.0GY	2	4	43	53	21	 In
5.0GY	2	6	37	55	0	 Out
7.5GY	2	2	45	51	43	 In
7.5GY	2	4	36	54	28	 In
7.5GY	2	6	25	57	10	 In
7.5GY	2	8	2	59	0	 Out
10.0GY	2	2	43	51	45	 In
10.0GY	2	4	30	55	35	 In
10.0GY	2	6	11	57	24	 In
10.0GY	2	8	0	60	10	 Out
10.0GY	2	10	0	62	0	 Out
10.0GY	2	12	0	64	0	 Out
2.5G	2	2	41	52	47	 In
2.5G	2	4	24	55	40	 In
2.5G	2	6	0	58	34	 Out
2.5G	2	8	0	60	29	 Out
2.5G	2	10	0	63	24	 Out
2.5G	2	12	0	65	19	 Out
2.5G	2	14	0	66	16	 Out
2.5G	2	16	0	68	13	 Out
5.0G	2	2	40	52	48	 In
5.0G	2	4	21	55	44	 In
5.0G	2	6	0	58	40	 Out
5.0G	2	8	0	61	38	 Out
5.0G	2	10	0	63	35	 Out
5.0G	2	12	0	65	34	 Out
5.0G	2	14	0	66	33	 Out
5.0G	2	16	0	68	32	 Out
7.5G	2	2	39	52	49	 In
7.5G	2	4	17	56	47	 In
7.5G	2	6	0	58	45	 Out
7.5G	2	8	0	61	44	 Out
7.5G	2	10	0	63	43	 Out
7.5G	2	12	0	65	42	 Out
7.5G	2	14	0	67	42	 Out
7.5G	2	16	0	68	42	 Out
10.0G	2	2	38	52	51	 In
10.0G	2	4	13	56	50	 In
10.0G	2	6	0	58	49	 Out
10.0G	2	8	0	61	49	 Out
10.0G	2	10	0	63	50	 Out
10.0G	2	12	0	65	50	 Out
10.0G	2	14	0	67	51	 Out
10.0G	2	16	0	68	52	 Out
2.5BG	2	2	37	52	52	 In
2.5BG	2	4	8	56	54	 In
2.5BG	2	6	0	58	55	 Out
2.5BG	2	8	0	61	57	 Out
2.5BG	2	10	0	63	58	 Out
2.5BG	2	12	0	65	60	 Out
2.5BG	2	14	0	67	61	 Out
5.0BG	2	2	36	52	55	 In
5.0BG	2	4	4	55	58	 In
5.0BG	2	6	0	58	62	 Out
5.0BG	2	8	0	61	66	 Out
5.0BG	2	10	0	63	70	 Out
